fen,game_id
1r1qr1k1/3nbppb/5n1p/2pp4/8/PNB1PNP1/Q4PBP/R1R3K1 b - - 2 20,e7
1r1qr1k1/3n1ppb/5b1p/2pp4/4n3/PN2PNP1/Q4PBP/1RR1B1K1 b - - 6 22,e7
1r1qr1k1/3n1ppb/3n3p/2pp4/8/PN2PNP1/Q4PBP/R3B1K1 b - - 0 24,e7
1r2r1k1/5ppb/1q1n1n1p/2pp4/8/PN2P1P1/Q2N1PBP/2R1B1K1 b - - 4 26,e7
1r2r1k1/5ppb/3n1n1p/3p4/2pN4/P3P1P1/1Q1N1PBP/2R1B1K1 b - - 0 28,e7
r5k1/5ppb/3n1n1p/3p4/1BpN4/P3P1P1/1r3PBP/2R2NK1 b - - 3 30,e7
r5k1/4Bppb/5n1p/3p4/2pN4/P3PPP1/1r3nBP/2R2NK1 b - - 2 32,e7
r5k1/3nBppb/7p/3p4/2pNP3/P2n1PP1/1r4BP/R4NK1 b - - 0 34,e7
rn1qkb1r/1p3ppp/p2pbn2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R b KQkq - 0 8,e8
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P3/1NN1BQ1P/PPP2PP1/2KR1B1R b - - 4 10,e8
rn1q1rk1/4bppp/p2pbn2/3Np3/1p2P1P1/1N2BQ1P/PPP2P2/2KR1B1R b - - 1 12,e8
rnbq1rk1/4bppp/p2p4/3Pp3/1p4PP/1N2BQ2/PPP2P2/2KR1B1R b - - 0 14,e8
rn1q1rk1/4b1pp/p2p4/3Ppb2/1p5P/1N2B3/PPP2PQ1/2KR1B1R b - - 1 16,e8
r2q1rk1/3nb1pp/3p4/p2Ppb2/1p5P/1N1BB3/PPP2PQ1/1K1R3R b - - 1 18,e8
r4rk1/2qnb1pp/3p4/p2Pp2P/1p6/1N1RB3/PPP2PQ1/1K5R b - - 0 20,e8
r4rk1/2q1b2p/3p1npP/p2Pp3/1p6/3RB3/PPPN1PQ1/1K5R b - - 1 22,e8
r4rk1/4b2p/3p1npP/3Pp3/ppq1N2R/3RB3/PPP2PQ1/1K6 b - - 3 24,e8
r4r1k/4b2p/3p1npP/3Pp1B1/p1q4R/1pNR4/PPP2PQ1/1K6 b - - 1 26,e8
r4r1k/4b2p/3p1BpP/3P4/p1q1p2R/3R4/NPP2PQ1/1K6 b - - 0 28,e8
r4r1k/7p/3p1bpP/2qP4/p3R3/3R2Q1/NPP2P2/1K6 b - - 2 30,e8
rr5k/7p/3p1bpP/2qP4/1P2R3/p1PR2Q1/N4P2/1K6 b - - 0 32,e8
r4r1k/7p/3p1bpP/1q1P4/1P2R3/p1P3Q1/N4P2/K2R4 b - - 4 34,e8
r2qkb1r/ppp2ppp/3p1n2/3Pp3/2B1P1b1/2N1BP2/PPP2P1P/R2QK2R b KQkq - 0 8,e9
r2qkb1r/pppb1p1p/3p1np1/3Pp1B1/2B1P2P/2N2P2/PPP2P2/R2QK2R b KQkq - 1 10,e9
r2qk2r/pppb1pb1/3p1npp/3Pp3/2B1P2P/2N1BP2/PPPQ1P2/R3K2R b KQkq - 3 12,e9
r3k2r/ppp1qpb1/3p1npp/1B1Pp3/4P2P/4BP2/PPPQ1P2/R3K2R b KQkq - 0 14,e9
r3k2r/1ppBqpb1/p2p2pp/3Pp3/4P2P/4BP2/PPPQ1P2/2KR3R b kq - 0 16,e9
2kr3r/1ppq1pb1/p2p2pp/3Pp3/4P2P/4BP2/PPPQ1P2/1KR4R b - - 3 18,e9
2kr3r/1ppq2b1/p2p2pp/2PPp3/4Pp1P/4BP2/PP1Q1P2/1KR4R b - - 0 20,e9
2kr3r/1ppq2b1/p5pp/2RPp3/4P2P/4PP2/PP1Q4/1K5R b - - 0 22,e9
2kr3r/1ppq4/p2b2pp/3Pp3/2R1P2P/4PP2/PP1Q4/1KR5 b - - 4 24,e9
2k4r/1ppq4/p1Rb2pp/Q2Pp3/4P2P/4Pr2/PP6/1KR5 b - - 1 26,e9
3k3r/2pq4/Q1Pb2pp/4p3/4P2P/4Pr2/PP6/1KR5 b - - 0 28,e9
2q4r/2p1k3/2Pb2pp/4p3/2Q1P2P/4Pr2/PP6/1K4R1 b - - 4 30,e9
5r2/2p1k3/2Pbq1pp/4p3/4P2P/P3Pr2/1P2Q3/1K4R1 b - - 0 32,e9
5r2/2p1k3/2Pbq1pp/1Q2p3/4P2P/P3P3/1P1r4/1K3R2 b - - 4 34,e9
r1bqkb1r/ppp1n1p1/3p1n1p/3Ppp2/2P1P3/2NB1N1P/PP3PP1/R1BQK2R b KQkq - 0 8,e10
r1bqkb1r/ppp5/3p1n1p/3Ppnp1/2P1N3/3B1N1P/PP3PP1/R1BQK2R b KQkq - 1 10,e10
r1bqk2r/ppp3b1/3p3p/3Ppnp1/2P1B3/5N1P/PPQ2PP1/R1B1K2R b KQkq - 0 12,e10
r2q1rk1/pppb2b1/3p3p/3Ppnp1/2P1B3/4BN1P/PPQ2PP1/2KR3R b - - 4 14,e10
4rrk1/pppbq1b1/3p3p/3Ppnp1/2P1B3/4BN1P/PPQ2PP1/K2R3R b - - 8 16,e10
4rrk1/2pbq1b1/1p1p3p/p2Ppnp1/2P1B3/4BN1P/PPQ1RPP1/K2R4 b - - 1 18,e10
4rrk1/2pb2b1/1p1p1q1p/p2Ppnp1/2P1B3/4B2P/PPQNRPP1/K3R3 b - - 5 20,e10
4rr1k/2pb2b1/1p1p1q1p/p2Pp1p1/2PBB3/7P/PPQNRPP1/K6R b - - 0 22,e10
