fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
5rk1/5p2/p7/2R4b/3p4/P5b1/BPP2r2/R5K1 b - - 2 32,64,JtXWS6PK,h5g6,223,190,h5f3,0.2961,0.421,0.5109,0.526,h5f3,h5g6,h5g6,h5g6,0.0,0.526,0.2299,False
5r2/5p1k/p7/8/3p4/P4bR1/BPP2r2/R5K1 b - - 0 34,68,JtXWS6PK,f2c2,-250,103,f2c2,0.5746,0.6095,0.655,0.683,f2c2,f2c2,f2c2,f2c2,0.0,0.683,0.1084,False
r1bqkb1r/p3pp1p/1npp1np1/1p6/3PPB2/P1N2N2/1PPQ1PPP/2KR1B1R b kq - 2 8,16,6SE2GH52,a7a5,-53,36,a7a5,0.1538,0.3121,0.4391,0.5265,b6c4,a7a5,a7a5,a7a5,0.0,0.5265,0.3727,False
r1bqkb1r/4pp1p/1npP2p1/pp1n4/3P1B2/P1N2N2/1PPQ1PPP/2KR1B1R b kq - 0 10,20,6SE2GH52,d5f4,20,90,d5f4,0.1002,0.1155,0.1194,0.1259,e7d6,e7d6,e7d6,e7d6,92.0,0.1259,0.0257,False
r1bqk2r/4bp1p/1np3p1/pp6/3P1Q2/P1N2N2/1PP2PPP/2KR1B1R b kq - 0 12,24,6SE2GH52,b5b4,125,131,e8g8,0.33,0.3214,0.2715,0.2274,b5b4,b5b4,e8g8,e8g8,165.0,0.33,-0.1026,False
r1bq1rk1/4bp2/1np3p1/pp5p/3P1Q1P/P1NB1N2/1PP2PP1/2KR3R b - - 1 14,28,6SE2GH52,b5b4,0,45,b5b4,0.3774,0.436,0.5012,0.5772,b5b4,b5b4,b5b4,b5b4,0.0,0.5772,0.1998,False
r1bq1rk1/4bp2/1np3p1/7p/1p1P1Q1P/3B1N2/1PP2PP1/1NKR3R b - - 1 16,32,6SE2GH52,e7f6,252,60,b6d5,0.0162,0.0206,0.0277,0.04,b6d5,b6d5,b6d5,b6d5,91.0,0.04,0.0238,False
r2q1rk1/4bp2/2p3p1/3n3p/1p1P2bP/3B1NQ1/1PP2PP1/1NK1R2R b - - 5 18,36,6SE2GH52,e7f6,317,8,g4f3,0.0215,0.0283,0.0412,0.0625,e7d6,e7d6,e7d6,e7d6,55.0,0.0625,0.041,False
r2q1rk1/5p2/2pb2p1/3n3p/1p1P3P/3B1P2/1PP2PQ1/1NK1R2R b - - 2 20,40,6SE2GH52,d6f4,577,32,d5f4,0.2647,0.2934,0.3058,0.2983,d5f4,d5f4,d5f4,d6f4,0.0,0.3058,0.0336,False
r2q1rk1/5p2/2pb2p1/7p/1p1P3P/3Q1P2/1PP2P2/1NK1R2R b - - 0 22,44,6SE2GH52,d6f4,559,269,d8f6,0.4349,0.4819,0.4815,0.4537,d6f4,d6f4,d6f4,d6f4,0.0,0.4819,0.0188,False
r4rk1/5p2/3b1qp1/2P4p/1p2R2P/3Q1P2/1PP2P2/1NK4R b - - 0 24,48,6SE2GH52,d6f4,419,92,d6c5,0.0715,0.0805,0.0869,0.1026,d6c5,d6c5,d6c5,d6c5,72.0,0.1026,0.0311,False
