fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r3r1k1/2qb1pbp/p2p1np1/3P4/2RBP3/5PN1/1P2B1PP/3Q1R1K b - - 0 22,44,?,c7d8,-117,13,c7b7,0.2535,0.3344,0.3633,0.3391,c7b7,c7d8,c7d8,c7d8,0.0,0.3633,0.0856,False
r3r1k1/1qR2pbp/p2p1np1/1b1P4/3BP3/5PN1/1PQ1B1PP/5R1K b - - 4 24,48,?,a8c8,-89,1,a8c8,0.0315,0.0196,0.0201,0.0152,b7b8,b7b8,b7b8,b7b8,59.0,0.0315,-0.0163,False
4r1k1/1R3pbp/p2p1np1/1B1P4/3BP3/5PN1/1Pr3PP/5R1K b - - 0 26,52,?,a6b5,-109,262,a6b5,0.8565,0.9438,0.9762,0.9867,a6b5,a6b5,a6b5,a6b5,0.0,0.9867,0.1302,False
4r1k1/1R3pb1/3p1np1/1p1P3p/4P3/2B2PN1/1Pr3PP/R6K b - - 1 28,56,?,h5h4,0,49,h5h4,0.4754,0.5313,0.6001,0.6756,h5h4,h5h4,h5h4,h5h4,0.0,0.6756,0.2002,False
4r1k1/5pb1/3p1np1/3P4/1R2P2p/2B2P2/1Pr3PP/R4N1K b - - 0 30,60,?,f6h5,-66,1,f6h5,0.2649,0.383,0.5316,0.6625,h4h3,f6h5,f6h5,f6h5,0.0,0.6625,0.3976,False
4r3/5pk1/3p2p1/3P3n/1R2P2p/5P1P/1Pr3P1/R4N1K b - - 0 32,64,?,c2e2,0,3,c2f2,0.0205,0.0162,0.0138,0.0118,h5f4,h5f4,h5f4,h5f4,44.0,0.0205,-0.0087,False
2r5/5pk1/3p2p1/3P3n/2R1P2p/4NP1P/1P3rP1/R6K b - - 4 34,68,?,c8b8,-81,6,h5g3,0.1168,0.1473,0.2261,0.3531,c8c4,c8c4,c8c4,c8c4,117.0,0.3531,0.2363,False
rnbq1rk1/pp2p1bp/2pp1np1/5p2/3P4/P1NQ1NP1/1PP1PPBP/R1B2RK1 b - - 1 8,16,?,d6d5,-23,4,d6d5,0.0697,0.0537,0.0349,0.0301,d8e8,d8e8,d8e8,d8e8,55.0,0.0697,-0.0396,False
rnbq1rk1/pp4bp/2p1pnp1/3p1p2/3P1B2/P1N2NP1/1PPQPPBP/R4RK1 b - - 1 10,20,?,b8d7,-17,1,b8d7,0.2501,0.2795,0.3281,0.2857,b8d7,f6e4,f6e4,f6e4,39.0,0.3281,0.0356,False
r1bq1rk1/pp1n2bp/2pBp1p1/3p1p2/3PN3/P4NP1/1PPQPPBP/R4RK1 b - - 0 12,24,?,d5e4,104,114,d5e4,0.285,0.2702,0.251,0.2479,f5e4,f5e4,f5e4,f5e4,118.0,0.285,-0.0371,False
r1bqr1k1/pp1n2bp/2pBp1p1/5pN1/3Pp3/P5P1/1PPQPPBP/R2R2K1 b - - 3 14,28,?,d7b6,112,14,d7b6,0.1491,0.2143,0.2703,0.2545,d7f6,d7f6,d7f6,d7f6,140.0,0.2703,0.1054,False
r1bqr1k1/pp4b1/1np1p1pp/5p2/3PNB2/P5P1/1PPQPPBP/R2R2K1 b - - 0 16,32,?,f5e4,158,161,f5e4,0.6878,0.7947,0.8408,0.8407,f5e4,f5e4,f5e4,f5e4,0.0,0.8408,0.1529,False
r1bqr1k1/pp4b1/2p1p1pB/8/2nPp3/P5P1/1PP1PPBP/R1QR2K1 b - - 2 18,36,?,d8f6,202,67,d8f6,0.0989,0.1914,0.3305,0.3842,g7h6,g7h6,d8f6,d8f6,0.0,0.3842,0.2853,False
r1b1r1k1/pp4b1/2p2qp1/4p1B1/2nPB3/P5P1/1PP1PP1P/R1QR2K1 b - - 1 20,40,?,f6f7,217,194,f6f7,0.5183,0.6048,0.6896,0.7967,f6f7,f6f7,f6f7,f6f7,0.0,0.7967,0.2784,False
r1b2rk1/pp3qb1/2P3p1/4p1B1/2n1B3/P5P1/1PP1PP1P/R1QR2K1 b - - 0 22,44,?,f7f2,293,170,f7f2,0.6657,0.8215,0.8996,0.9476,f7f2,f7f2,f7f2,f7f2,0.0,0.9476,0.2819,False
r1b2rk1/p5b1/2B3p1/4p1B1/2n5/P5P1/1PP1Pq1P/R1QR3K b - - 0 24,48,?,c8h3,339,156,c8h3,0.1899,0.2105,0.2665,0.3513,a8b8,a8b8,a8b8,a8b8,185.0,0.3513,0.1614,False
