fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core
8/2q1r1pk/7p/1Q3R2/4pP2/1Pb3P1/2P4P/3R3K b - - 0 30,60,r0KDFmrm,c7c8,-351,34,e4e3,0.0114,0.009,0.0066,0.0057,e4e3,e4e3,e4e3,e4e3,180.0,0.0114,-0.0057,True,club,03_disagreements_b2,2022,2009,2009,False,True
r4rk1/p1p2qpp/2Qp4/5p2/2bPpP2/2P1B1P1/P3PK1P/R4R2 b - - 1 18,36,JHquPDMt,a7a6,245,20,d6d5,0.019,0.0207,0.0229,0.021,f7h5,f7h5,f7h5,f7h5,633.0,0.0229,0.002,True,club,03_disagreements_b2,2258,2321,2321,False,True
r4rk1/p1p3pp/2Q5/3p1p2/2bPpPP1/2P1B3/Pq5P/R3R1K1 b - - 0 22,44,JHquPDMt,b2b6,318,37,f5g4,0.0092,0.0111,0.014,0.0182,b2c3,b2c3,b2c3,b2c3,111.0,0.0182,0.009,True,club,03_disagreements_b2,2258,2321,2321,False,True
r4rk1/p4pp1/1n6/1N1pP1qp/2pP4/4PRPP/1PQ5/R5K1 b - - 1 24,48,K3DcsTsi,f7f6,-73,40,a7a5,0.0328,0.0299,0.0274,0.0232,h5h4,h5h4,h5h4,h5h4,127.0,0.0328,-0.0096,True,club,03_disagreements_b2,2090,1981,1981,False,True
8/1pp2kp1/1p2pn1p/4p2P/3qP3/3P2Q1/2P2RPK/8 b - - 0 30,60,UJJHMGZE,f7f8,-215,9,f7e8,0.0189,0.0214,0.0259,0.0378,b6b5,b6b5,b6b5,b6b5,284.0,0.0378,0.0189,True,club,03_disagreements_b2,1939,1924,1924,False,True
2rq1rk1/pp2bp1p/5p2/3p4/3P1PP1/1Q1N1N1P/PPn5/2R2RK1 b - - 3 20,40,uai0h4MN,d8b6,-245,151,c2e3,0.0038,0.0035,0.0038,0.0036,c2e3,c2e3,c2e3,c2e3,136.0,0.0038,-0.0002,True,club,03_disagreements_b2,2138,2193,2193,False,True
5rk1/pp2b2p/4qp2/3p4/2NP1PP1/4Q2P/PP6/2R3K1 b - - 1 26,52,uai0h4MN,e6d7,-104,27,e6d7,0.0497,0.0423,0.0451,0.0494,e6e3,e6e3,e6e3,e6e3,185.0,0.0497,-0.0003,True,club,03_disagreements_b2,2138,2193,2193,True,False
4q1k1/pp3ppp/1r3p2/3B1N2/6P1/7P/PP3P2/2R3K1 b - - 0 28,56,8jeaAC7B,g8f8,377,77,h7h6,0.0044,0.0054,0.0056,0.0059,b6b2,g7g6,g7g6,g7g6,256.0,0.0059,0.0015,True,club,03_disagreements_b2,2269,2245,2245,False,True
2rq2k1/pp3pbp/2nnr1p1/2p2P2/2Pp4/P2P2NP/BP4P1/R1BQ1RK1 b - - 0 18,36,Amx4Ek5r,e6e3,193,57,e6e8,0.0057,0.0042,0.004,0.0051,d6f5,d6f5,d6f5,d6f5,133.0,0.0057,-0.0006,True,club,03_disagreements_b2,1917,1932,1932,False,True
r2qkr2/1pp4Q/3p2p1/p2Ppb2/2P1n1P1/8/PP2BP2/R3K1NR b KQ - 0 18,36,zPNUB90Q,e4f6,-177,55,e4g5,0.0466,0.0322,0.0214,0.0182,f5d7,f5d7,f5d7,f5d7,427.0,0.0466,-0.0284,True,club,03_disagreements_b2,2035,2084,2084,False,True
