set,elo,fen,engine_best,rank
control,1100,r3k2r/5pp1/p3p1q1/2Bp4/2p4p/P4RnQ/1PP3P1/4R1K1 b kq - 3 24,g3e4,2.0
control,1100,r3k2r/pppqn3/2n2p2/1B1p1p1R/3P4/4PQ2/PPPN1P2/R3K3 b Qkq - 0 16,e8c8,1.0
control,1100,5r2/4p1kp/1p2n1p1/p1PpP3/Pr5P/3PKP1R/1P1N4/2R5 b - - 2 26,b6c5,1.0
control,1100,8/2q4k/4r1p1/1p1rPpQp/p1pB4/P1P1NR1P/1P4P1/6K1 b - - 4 34,d5e5,2.0
control,1100,6k1/2R1r1pp/2Q5/B3pp2/4q3/5N1P/1r3PP1/1N3RK1 b - - 0 24,e4c6,2.0
control,1100,r2r2k1/p1b3p1/5pp1/2PnP3/3Np3/1PB1P2P/3K2P1/RR6 b - - 0 28,c7e5,2.0
control,1100,5rk1/p1b3pp/2p1p3/8/P7/5R1P/1PP2KPq/3Q4 b - - 2 26,c7b6,1.0
control,1100,r7/p3npk1/2p1pNp1/q2pP1B1/2p3P1/2Pb4/PP3PK1/R6Q b - - 0 24,d3e4,2.0
control,1100,2rk4/1p2b1Qp/p3P1n1/q3n3/2p5/P1N1B3/1PB3PP/1R5K b - - 2 28,d8c7,1.0
control,1100,r1b1k2r/pppp1ppp/2n1p3/8/4Nq2/3B1N2/PPPQ2PP/R4K1R b kq - 7 12,f4d2,1.0
control,1100,4rrk1/pp1q1ppp/2nb2n1/3p4/3N4/2PQBB2/PP3PPP/R3R1K1 b - - 0 16,c6e5,2.0
control,1100,r4r1k/p1p2pp1/np1p3p/4p3/1P5P/2P2P2/P1P2KP1/2BRR3 b - - 1 20,a6b8,2.0
control,1100,2r5/5ppk/7p/3PPp2/7P/1p1q4/1Pb2RQP/6K1 b - - 1 32,d3d1,1.0
control,1100,r1bqr1k1/p2n1pbp/PpQ2np1/3p4/2pPp3/2P1P2P/1P1NBPPB/R3NRK1 b - - 2 16,a8b8,1.0
control,1100,2kr3r/pp2bpp1/3q1np1/2pp4/8/3B1N1P/PP1B1QP1/R2K1R2 b - - 3 20,f6e4,2.0
control,1100,4q3/8/pQ2p1k1/1p1b1pp1/5b2/3P4/PP4PP/3R3K b - - 5 34,e8h8,1.0
control,1100,r2qkb1r/pp1n1ppp/2p2n2/4P3/2B1P1b1/5N2/PPP3PP/RNBQ1RK1 b kq - 0 8,g4f3,3.0
control,1100,r2q1rk1/ppp2ppn/1b1p3p/4p3/4P3/P2P2NP/1PP2PP1/R1BQ1RK1 b - - 2 14,h7g5,2.0
control,1100,r4rk1/ppp2ppp/3q1n2/4n3/1P4b1/P3PN2/3PBPPP/RN1Q1RK1 b - - 6 12,g4f3,2.0
control,1100,r2qk2r/pp3pp1/2p1pn1p/8/2nP4/BQP2B1P/PP3PP1/R4RK1 b kq - 2 16,c4a3,2.0
control,1100,2r3k1/5pp1/4p2p/1p6/PR2P3/1P6/r2R1PPP/4K3 b - - 6 32,a2a1,2.0
control,1100,3rr1k1/p1qPp1bp/1p3p2/1Pp5/Q1P4p/P1pP1R1P/3N1KB1/5R2 b - - 0 26,c7d7,2.0
control,1100,5rk1/p1b3pp/2pqpr2/4p3/P2pn3/R3PP1P/1PPBN1P1/3Q1RK1 b - - 2 18,e4d2,1.0
control,1100,r6r/pn1kpp2/1p1pb1pp/8/2PNPP2/2P5/P3B1PP/R3K2R b KQ - 0 18,a8c8,2.0
control,1100,2kr2r1/ppB1qp2/4b3/3n4/1P5p/P2B2N1/2Q2PPP/R3R1K1 b - - 0 22,e7c7,2.0
control,1100,r1qr2k1/1p2bppp/p2pbn2/2pN2B1/P1B1P3/3Q3P/1PP2PP1/3R1RK1 b - - 5 14,f6d5,1.0
control,1100,2r3k1/2q2pp1/2p1r2p/3n4/PP1B4/2P2P1P/3Q1PK1/5R1R b - - 2 30,e6g6,1.0
