fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core
2r3k1/3q1pp1/1pp4p/3pBbb1/1N1Pn3/2PB1Q1P/1P3PP1/R5K1 b - - 1 28,56,e2045,g5h4,0,1,f5g6,0.0064,0.0057,0.0043,0.0032,c6c5,c6c5,c6c5,c6c5,467.0,0.0064,-0.0032,True,elite,03_elite_b3,2987,2969,2969,False,True
r3r1k1/ppp1qpb1/3pbnpp/1P3p2/P1PP4/3BPN2/2QN1PPP/1RR3K1 b - - 0 16,32,e2049,g7f8,-13,11,a7a5,0.003,0.0024,0.0019,0.0027,b7b6,b7b6,b7b6,g6g5,207.0,0.003,-0.0003,True,elite,03_elite_b3,2489,2643,2643,False,True
2rqrbk1/1p1b1p2/1p1p2pp/pN1P1p2/P1P1n3/1R1NP3/2Q2PPP/1R3BK1 b - - 15 26,52,e2049,h6h5,147,1,d8f6,0.0431,0.0237,0.0121,0.0145,e4c5,e4c5,e4c5,e4c5,117.0,0.0431,-0.0286,True,elite,03_elite_b3,2489,2643,2643,False,True
5rk1/1p1R1npp/8/7P/2P1r1P1/1PB2pK1/1P3P2/R7 b - - 4 34,68,e2053,g7g6,-521,12,b7b5,0.0078,0.0036,0.0019,0.0018,f7g5,f7g5,f7g5,f7g5,1475.0,0.0078,-0.006,True,elite,03_elite_b3,2629,2558,2558,False,True
2rq1rk1/pb3p1p/1p2p1p1/4N1b1/1nPP1n2/5N2/PB3PPP/RB1RQ1K1 b - - 5 18,36,e2063,f7f6,29,57,b4c6,0.0492,0.0392,0.0298,0.0261,b4c6,b4c6,b4c6,b4c6,240.0,0.0492,-0.0231,True,elite,03_elite_b3,2530,2416,2416,False,True
r3r1k1/pp3ppn/4b1n1/q2pP2Q/2pP4/P1P2P1p/2BBNRPP/R5K1 b - - 1 20,40,e2068,b7b5,-376,16,g6f8,0.0451,0.0329,0.0246,0.0275,h3g2,h3g2,h3g2,h3g2,129.0,0.0451,-0.0176,True,elite,03_elite_b3,2610,2606,2606,False,True
rn4k1/p1q2pp1/2p2pp1/8/8/3Q4/PPP1B2P/2KR4 b - - 1 20,40,e2069,g8f8,-105,167,g8h7,0.0058,0.0072,0.0139,0.0424,b8d7,b8d7,b8d7,b8d7,225.0,0.0424,0.0366,True,elite,03_elite_b3,2959,2734,2734,False,True
3r4/2qrbpk1/R3p1p1/B1pnPn1p/4NP2/1Q3NP1/1P5P/R5K1 b - - 1 30,60,e2071,d8b8,27,12,c7b8,0.0315,0.0315,0.034,0.0323,c7c8,c7c8,c7b7,c7b7,278.0,0.034,0.0008,True,elite,03_elite_b3,2506,2389,2389,False,True
5r1k/6pp/3p4/3Pb3/1PP1p2q/Q6P/4BP2/5R1K b - - 2 28,56,e2074,g7g5,447,10,g7g6,0.0489,0.0382,0.0282,0.0271,h4f4,h4f4,h4f4,h4f4,445.0,0.0489,-0.0218,True,elite,03_elite_b3,2598,2612,2612,False,True
r2r2k1/pp2qpp1/2pb1n1p/1Pn1p3/P1P1P1bN/B1N3P1/2Q2PBP/R3R1K1 b - - 8 16,32,e2077,c5d3,159,113,c5e6,0.0086,0.0076,0.0065,0.004,c6b5,c5e6,c5e6,c5e6,111.0,0.0086,-0.0046,True,elite,03_elite_b3,2437,2516,2516,False,True
4r2k/pp1qNpp1/3r3p/1P2QP2/P7/5KP1/7P/R3R3 b - - 2 30,60,e2077,e8e7,-17,274,d6d2,0.0125,0.0083,0.0067,0.0064,d6d3,d6d3,d6d3,d6d3,295.0,0.0125,-0.0061,True,elite,03_elite_b3,2437,2516,2516,False,True
r2qkb1r/pp3ppp/2n1p3/5nP1/3p1P2/1P1P1N2/PBPNQ2P/2KR3R b kq - 1 14,28,e2084,d8c7,80,7,f8b4,0.0064,0.0083,0.0114,0.0125,f5e3,f5e3,f5e3,f5e3,178.0,0.0125,0.0061,True,elite,03_elite_b3,2446,2533,2533,False,True
6k1/2pQ1pb1/2p1P1p1/2P4p/5q2/6rP/5B2/1R2RK2 b - - 0 32,64,e2087,g8h7,-275,166,f7e6,0.002,0.001,0.0006,0.0005,f4c4,f4c4,f4c4,f4c4,310.0,0.002,-0.0015,True,elite,03_elite_b3,2500,2559,2559,False,True
1r3k2/Rb3pp1/4p2p/1Pr5/2P5/4PP2/3NRKPP/8 b - - 2 26,52,e2088,e6e5,-420,18,f8e7,0.0487,0.0304,0.0213,0.0166,f8e7,f8e7,f8e7,f8e7,107.0,0.0487,-0.0321,True,elite,03_elite_b3,2532,2331,2331,False,True
2r5/1br2pp1/1k2p2p/1PP5/4P3/1NR2P2/4K1PP/2R5 b - - 0 34,68,e2088,b6a7,-722,37,b6b5,0.0478,0.0363,0.0317,0.0434,b6b5,b6b5,b6b5,b6b5,1272.0,0.0478,-0.0044,True,elite,03_elite_b3,2532,2331,2331,False,True
1n1r1rk1/pp1q1ppp/3p2b1/1P4Q1/2B4P/2B5/P4PP1/3RR1K1 b - - 0 20,40,e2096,d8c8,-197,45,d7f5,0.0215,0.0134,0.0087,0.0064,h7h6,h7h6,h7h6,h7h6,1798.0,0.0215,-0.0151,True,elite,03_elite_b3,2612,2620,2620,False,True
1r4k1/pp1n1ppp/3R4/1P1B1b2/1B5P/5P2/P5P1/6K1 b - - 0 26,52,e2096,h7h5,-81,22,d7f8,0.0272,0.0239,0.0204,0.0295,d7b6,d7b6,d7b6,d7b6,179.0,0.0295,0.0023,True,elite,03_elite_b3,2612,2620,2620,False,True
3r2k1/p1r2pb1/7p/1q6/4B2P/1N1p1QP1/PP3PK1/3R4 b - - 1 28,56,e2102,b5b6,112,7,d3d2,0.0015,0.0012,0.0009,0.0006,c7d7,c7d7,c7d7,c7d7,161.0,0.0015,-0.0009,True,elite,03_elite_b3,2732,2961,2961,False,True
1r4k1/5pb1/2p3p1/R3p2p/8/4B1P1/P3PP1P/6K1 b - - 0 24,48,e2103,g7f8,-53,36,b8b2,0.0257,0.0241,0.0257,0.035,b8b1,b8b1,b8b2,b8b2,148.0,0.035,0.0093,True,elite,03_elite_b3,2500,2464,2464,False,True
5k2/p4pp1/1p1b3p/2pP4/4R3/7P/PP3PK1/8 b - - 0 32,64,e2109,h6h5,-288,7,b6b5,0.0093,0.0065,0.0045,0.0045,f7f5,f7f5,f7f5,f7f5,155.0,0.0093,-0.0048,True,elite,03_elite_b3,2703,2659,2659,False,True
5k2/p4p2/3b2pp/1ppP4/4RP2/5K1P/PP6/8 b - - 1 34,68,e2109,a7a6,-295,2,a7a5,0.0245,0.0267,0.0213,0.0129,c5c4,a7a5,f7f5,f7f5,268.0,0.0267,-0.0116,True,elite,03_elite_b3,2703,2659,2659,False,True
r3kbnr/pp3pp1/2n1p3/2q1P2p/7P/2N2N2/PP2QPP1/R1B1K2R b KQkq - 1 12,24,e2120,c5a5,-122,14,g8h6,0.028,0.0277,0.0247,0.0242,e8c8,e8c8,g8e7,g8e7,175.0,0.028,-0.0038,True,elite,03_elite_b3,2579,2504,2504,False,True
2r5/pp3pk1/4q1np/7Q/7P/4N1P1/PP3P2/3R2K1 b - - 2 26,52,e2120,g7h7,-338,8,g6e7,0.0335,0.0391,0.0412,0.0333,e6a2,e6a2,e6a2,e6a2,358.0,0.0412,-0.0002,True,elite,03_elite_b3,2579,2504,2504,False,True
r1bqkb1r/p6p/2p1ppp1/2pp3n/3P3B/2P1P3/PP1N1PPP/R2QKB1R b KQkq - 1 10,20,e2121,a7a5,-7,1,f8e7,0.0068,0.0056,0.0044,0.0037,g6g5,g6g5,g6g5,g6g5,529.0,0.0068,-0.0031,True,elite,03_elite_b3,2511,2356,2356,False,True
7r/pp4k1/2p1qnp1/3bN2p/3P1R2/3Q2NP/PP4PK/8 b - - 3 28,56,e2124,e6e8,-40,105,h8h6,0.0093,0.0116,0.0145,0.0175,h8h6,h8h6,h8h6,h8h6,104.0,0.0175,0.0082,True,elite,03_elite_b3,2503,2353,2353,False,True
