fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,family,piece,capture,check,quiet,pawn_move,phase,real_found
3rr2k/1b4q1/p4p2/1pppbBpp/4P3/2PR2PP/PPQ1NPK1/3R4 b - - 1 26,52,e159,g7f7,-8,2,h5h4,0.0285,0.0292,0.0295,0.0321,d5d4,d5d4,d5d4,d5d4,279.0,0.0321,0.0036,True,elite,0,queen,False,False,True,False,middlegame,False
2r1nr1k/p4p1P/1n2p1pP/1p1pP1B1/3N4/q1P1QP2/P1P5/3K1R1R b - - 3 22,44,e162,h8h7,83,35,a3c3,0.0295,0.0361,0.0285,0.0256,c8c3,c8c3,c8c3,c8c3,113.0,0.0361,-0.0039,True,elite,0,king,True,False,False,False,middlegame,False
2b4k/5p1p/3p2p1/p7/P4P2/5B2/2rr2PP/R3RK2 b - - 3 26,52,e163,c8h3,365,80,c8e6,0.0189,0.0152,0.0134,0.0136,d2f2,d2f2,d2f2,d2f2,152.0,0.0189,-0.0053,True,elite,5,bishop,False,False,True,False,endgame,False
R7/5pkp/3p2p1/p7/P4P2/1b3B2/3r2PP/5K2 b - - 3 30,60,e163,d2d4,288,231,b3a4,0.0348,0.0337,0.0367,0.0453,b3a4,b3a4,b3a4,b3a4,238.0,0.0453,0.0105,True,elite,5,rook,False,False,True,False,endgame,False
2q4r/ppk1b2p/2n2p2/2p5/5Q2/2NP2PP/PP3P2/R4RK1 b - - 0 20,40,e165,c7d8,-470,16,e7d6,0.0364,0.0237,0.0195,0.02,e7d6,e7d6,e7d6,e7d6,144.0,0.0364,-0.0164,True,elite,3,king,False,False,True,False,middlegame,False
5rk1/p2q1p1p/Q3bb2/5P2/3pp3/1N4P1/PPr1P2P/3R1RK1 b - - 0 22,44,e169,d7c8,465,211,e6b3,0.0016,0.0009,0.0005,0.0003,e6b3,e6b3,e6b3,e6b3,425.0,0.0016,-0.0013,True,elite,5,queen,False,False,True,False,middlegame,False
5r1k/p4p1p/2q2P2/6Q1/3Rp3/6P1/bPr1P2P/5RK1 b - - 0 26,52,e169,c6f6,-1224,773,f8g8,0.0083,0.0047,0.0027,0.0018,f8g8,f8g8,f8g8,f8g8,773.0,0.0083,-0.0065,True,elite,6,queen,True,False,False,False,middlegame,False
6k1/r4pp1/Pr1qp2p/2ppn3/R1p2Q1P/6P1/RP2PPB1/6K1 b - - 0 34,68,e172,f7f6,288,29,f7f5,0.0421,0.0356,0.0346,0.047,b6a6,b6a6,b6a6,b6a6,541.0,0.047,0.0049,True,elite,5,pawn,False,False,True,True,middlegame,False
r3rbk1/p4pp1/2p2nnp/qp1ppQ2/4P3/P1PP2PP/1PBB1P1N/3R1RK1 b - - 0 22,44,e173,e8e6,-87,9,a8d8,0.0061,0.0057,0.0054,0.0047,d5e4,a5c7,a5c7,a5b6,133.0,0.0061,-0.0014,True,elite,1,rook,False,False,True,False,middlegame,False
5k1n/p1q1rpb1/2p1PN1p/1p3Q2/3p4/PB4PP/1P3P2/4R1K1 b - - 4 34,68,e173,c7d6,-501,29,f7e6,0.027,0.0316,0.0347,0.0386,g7f6,g7f6,g7f6,g7f6,359.0,0.0386,0.0116,True,elite,6,queen,False,False,True,False,middlegame,False
r2qr1k1/pppn1p1p/3p1bp1/3P1b2/2PB4/1PN5/P2QNPPP/R3R1K1 b - - 6 16,32,e175,a7a6,-56,1,d7c5,0.0178,0.0203,0.021,0.0373,f6d4,f6d4,d7e5,d7e5,100.0,0.0373,0.0195,True,elite,1,pawn,False,False,True,True,middlegame,False
r3r1k1/1pq1bp2/p2p1np1/7p/2PN1Q2/3B1P2/PP4PP/1K1RR3 b - - 2 22,44,e183,e7d8,-65,36,e7d8,0.0109,0.0071,0.0043,0.0027,b7b5,g8g7,g8g7,g8g7,171.0,0.0109,-0.0082,True,elite,0,bishop,False,False,True,False,middlegame,True
2b2rk1/3n1ppp/r1p2n2/p3P1B1/2pP4/q5PP/2Q1N1BK/3R1R2 b - - 0 22,44,e189,a3b3,-34,106,a3b3,0.0097,0.0078,0.0059,0.0048,f6d5,f6d5,f6d5,f6d5,117.0,0.0097,-0.0049,True,elite,1,queen,False,False,True,False,middlegame,True
1r4k1/3r1pp1/4b3/7p/p2PB3/B5PP/1pR4K/3R4 b - - 1 34,68,e189,f7f5,-155,95,f7f5,0.0206,0.0168,0.0149,0.016,b2b1q,b2b1q,b2b1q,b2b1q,150.0,0.0206,-0.0046,True,elite,2,pawn,False,False,True,True,middlegame,True
r1b1k2r/1p1nbppp/pq2p3/3pP3/3N1P2/P1N3P1/1PP3BP/R2QK2R b KQkq - 2 12,24,e190,d7b8,50,7,e8g8,0.0019,0.0018,0.0015,0.0015,b6b2,b6b2,b6b2,b6b2,422.0,0.0019,-0.0004,True,elite,1,knight,False,False,True,False,middlegame,False
1rr3k1/3b1ppp/4p3/3pP3/p2q1P2/1P4P1/2P3BP/1K1Q1R2 b - - 1 32,64,e190,d4a7,903,81,d4c5,0.0132,0.0136,0.0128,0.01,d4c3,d4c3,d4c3,d4c3,159.0,0.0136,-0.0032,True,elite,7,queen,False,False,True,False,middlegame,False
1r6/R3pp2/3p1kp1/2p5/4PPP1/1PR1K2p/1rB3bP/8 b - - 0 32,64,e192,b2c2,124,47,b8b4,0.0023,0.0023,0.0025,0.0029,g6g5,g6g5,b8b4,b8b4,124.0,0.0029,0.0006,True,elite,5,rook,True,False,False,False,endgame,False
