fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,family,piece,capture,check,quiet,pawn_move,phase,real_found
8/1b4bk/p1q1p1p1/6Qp/2p2P1B/2PrR3/PP4PP/4R2K b - - 0 30,60,VuVCid7x,g7f6,311,368,g7f6,0.0018,0.001,0.0008,0.0009,d3e3,d3e3,d3e3,d3e3,371.0,0.0018,-0.0009,True,club,5,bishop,False,False,True,False,middlegame,True
5r2/6kp/p1bq4/1p1p2p1/2pP1rB1/P1Q4P/2P2PP1/4RRK1 b - - 5 28,56,R10ueRL8,f8e8,-103,0,f8f6,0.0214,0.0138,0.01,0.0092,d6f6,d6f6,d6f6,d6f6,247.0,0.0214,-0.0122,True,club,4,rook,False,False,True,False,middlegame,False
2bq1rk1/Q3ppbp/2r3p1/nBP4n/4P3/2N1BN2/PP3PPP/1R2K2R b K - 2 16,32,E1DnWcHr,c8g4,-417,2,c6e6,0.0059,0.0061,0.0072,0.0087,c6c7,c6c7,c6c7,c6c7,132.0,0.0087,0.0028,True,club,6,bishop,False,False,True,False,middlegame,False
2kr2nr/pp4pp/2p1p3/4P3/1P2NBb1/8/P1P2PPP/R3K2R b - - 0 14,28,pN5zwQvu,c8b8,-256,13,g4f5,0.0055,0.0062,0.0039,0.002,d8d4,g4f5,g8e7,d8d4,138.0,0.0062,-0.0035,True,club,4,king,False,False,True,False,middlegame,False
1r1q1rk1/3B1p2/3p2p1/1ppPb3/p6P/P1N1P3/1PPQ4/2K3RR b - - 0 20,40,yzfXg6K5,b5b4,-41,67,d8d7,0.0098,0.0091,0.0124,0.0202,d8d7,d8d7,d8d7,d8d7,102.0,0.0202,0.0104,True,club,0,pawn,False,False,True,True,middlegame,False
4k3/p2r1prp/1p2p1p1/2n1P3/q1pNP3/2P5/PP3QPP/R4RK1 b - - 1 24,48,oUEtLFHP,a4a5,-78,81,e8f8,0.0033,0.004,0.0049,0.0067,c5e4,c5e4,c5e4,c5e4,387.0,0.0067,0.0034,True,club,4,queen,False,False,True,False,middlegame,False
6k1/p2r1prp/1p2p1p1/2n1P3/q1pN3Q/1PP5/P5PP/R4RK1 b - - 0 28,56,oUEtLFHP,a4a6,37,64,a4a6,0.038,0.0282,0.0201,0.0186,c4b3,c4b3,c4b3,c4b3,553.0,0.038,-0.0194,True,club,4,queen,False,False,True,False,middlegame,True
r3k2r/1p1b1pb1/p7/2pP3p/8/2N2R1P/PPP1B1P1/3R3K b kq - 2 18,36,Gzo7L9Bp,g7d4,-165,3,f7f5,0.023,0.0229,0.0293,0.0402,e8c8,e8c8,e8c8,e8c8,132.0,0.0402,0.0172,True,club,4,bishop,False,False,True,False,middlegame,False
5rk1/1p1b2b1/p7/2pPrp1p/8/3B1RPP/PPP1N3/5R1K b - - 2 22,44,Gzo7L9Bp,c5c4,-67,38,b7b5,0.0145,0.0117,0.0113,0.0138,e5d5,e5d5,e5d5,e5d5,471.0,0.0145,-0.0007,True,club,4,pawn,False,False,True,True,middlegame,False
2krr3/p7/2NP1p2/1p1nP1pp/8/2P1BP2/PPBQKP1q/R7 b - - 0 22,44,TdkxmpjB,e8e5,-509,77,e8e5,0.0227,0.0157,0.0128,0.0114,d8d7,d8d7,d5e3,d5e3,161.0,0.0227,-0.0113,True,club,3,rook,True,False,False,False,middlegame,True
3r2k1/pQ3r1p/3P4/4qpp1/8/1B6/P4PPP/3R2K1 b - - 0 34,68,18h89uIa,e5e8,-503,156,e5f6,0.0141,0.013,0.0134,0.0152,d8d7,d8d7,d8d7,d8d7,1484.0,0.0152,0.0011,True,club,6,queen,False,False,True,False,endgame,False
r2q3k/2p3p1/p2p1n1p/1p1Pp3/4NrPb/1Q1P1P1P/PP2B3/2K2R1R b - - 2 24,48,PdknttYI,a6a5,147,18,f6e4,0.0205,0.0183,0.0187,0.0216,f6e4,f6e4,f6e4,f6e4,127.0,0.0216,0.0011,True,club,0,pawn,False,False,True,True,middlegame,False
