fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r2r3k/p1bqn1p1/Qpp2pbp/4p3/2P3P1/B2P2NP/P1P2PB1/1R3RK1 b - - 3 24,48,T2025-09_5,g6e8,39,12,c7d6,0.0206,0.0231,0.0326,0.0611,c6c5,c7d6,c7d6,c7d6,13.0,0.0611,0.0405,False
2rr3k/p2qn1p1/Qppb1pbp/4p3/2P3P1/3PB1NP/P1P2PB1/1R3RK1 b - - 7 26,52,T2025-09_5,c6c5,59,6,c6c5,0.1809,0.1864,0.1605,0.1007,c6c5,c6c5,f6f5,d6b8,9.0,0.1864,-0.0802,False
2rr3k/p2q2p1/1pnb1pbp/1Qp1p3/2P3P1/3PBBNP/P1P2P2/1R3RK1 b - - 3 28,56,T2025-09_5,e5e4,154,107,g6e8,0.0206,0.0142,0.0094,0.0056,g6e8,g6e8,c6d4,d6b8,123.0,0.0206,-0.015,True
2rrb2k/p1q3p1/1pnb1p1p/2p1p3/2P3P1/3PBBNP/PQP2PK1/1R3R2 b - - 7 30,60,T2025-09_5,c6e7,18,0,c6d4,0.0675,0.0857,0.0972,0.0941,e8g6,e8g6,c6d4,c6d4,26.0,0.0972,0.0266,False
2rrb2k/p1q3p1/1p1b1p1p/2p5/2PpB1P1/3P2NP/PQP2PK1/1R3R2 b - - 1 32,64,T2025-09_5,d6g3,136,45,e8c6,0.2346,0.2436,0.2154,0.147,e8c6,e8c6,e8c6,e8c6,52.0,0.2436,-0.0876,False
2rr3k/p1q3p1/1p3p1p/2p5/2PpB1P1/3P2bP/PQP2PK1/1R3R2 b - - 1 34,68,T2025-09_5,g3h4,-74,25,g3f4,0.3462,0.4006,0.421,0.4234,g3h4,g3h4,g3h4,g3h4,0.0,0.4234,0.0772,False
rnbqk2r/pp3pp1/4p2p/2p1P3/1bBP4/2N2N2/PP3PPP/R2Q1RK1 b kq - 2 10,20,T2025-09_6,b8c6,-47,1,c5d4,0.1579,0.147,0.1323,0.1413,c5d4,c5d4,c5d4,c5d4,-4.0,0.1579,-0.0166,False
rnbq1rk1/pp3pp1/4p2p/4P3/1bBN2Q1/2N5/PP3PPP/R4RK1 b - - 2 12,24,T2025-09_6,d8c7,0,3,b4c3,0.0629,0.0736,0.0982,0.1124,b8c6,b4c3,b4c3,b4c3,-10.0,0.1124,0.0495,False
rnb2rk1/ppq2pp1/4p2p/4P3/2B3Q1/2P2N2/P4PPP/R4RK1 b - - 2 14,28,T2025-09_6,b7b6,17,16,b8d7,0.046,0.0566,0.0837,0.1552,b8c6,b8c6,b8c6,b8c6,105.0,0.1552,0.1092,False
r1b2rk1/ppq2pp1/4p2p/2n1P3/2B3Q1/2P2N2/P4PPP/3RR1K1 b - - 6 16,32,T2025-09_6,a7a6,-31,8,f8d8,0.1272,0.1805,0.1867,0.112,c5a4,b7b6,b7b6,b7b6,16.0,0.1867,-0.0152,False
r2r2k1/ppqb1pp1/4p2p/2n1P3/2BR2Q1/2P2N2/P4PPP/3R2K1 b - - 10 18,36,T2025-09_6,d7c6,68,4,d7a4,0.2144,0.3228,0.4683,0.572,d7a4,d7c6,d7c6,d7c6,0.0,0.572,0.3576,False
r2r2k1/ppq2pp1/2b1p2p/2n1P3/2BR2QN/2P5/P2R1PPP/6K1 b - - 14 20,40,T2025-09_6,c5e4,231,70,c5e4,0.0398,0.0277,0.0192,0.0139,d8d4,d8d4,d8d4,d8d4,68.0,0.0398,-0.0259,False
r5k1/ppq2pp1/2b1p2p/4P3/2BPn1QN/3R4/P4PPP/6K1 b - - 0 22,44,T2025-09_6,c6a4,322,122,a8d8,0.0665,0.0334,0.0165,0.0107,b7b5,c6d5,c6d5,c6d5,414.0,0.0665,-0.0558,False
3r2k1/ppq2pp1/2b1p2p/4P1n1/2BP1PQN/3R4/P5PP/6K1 b - - 0 24,48,T2025-09_6,c6f3,373,244,g5e4,0.001,0.0009,0.0008,0.0006,g5e4,g5e4,g5h7,g5h7,403.0,0.001,-0.0004,True
3r2k1/ppq2pp1/4pP1p/3bP3/2BPn1QN/3R4/P5PP/6K1 b - - 0 26,52,T2025-09_6,e4g5,116,7,g7g5,0.2456,0.3013,0.3296,0.2976,g7g6,g7g6,g7g6,g7g6,579.0,0.3296,0.052,False
