fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r1bq1rk1/pppn1pp1/4p2p/b7/3PP3/2N1BN2/PPQ2PPP/3R1RK1 b - - 2 14,28,YxIwGvic,f8e8,-91,5,c7c6,0.0501,0.025,0.0113,0.0079,d7f6,d7f6,d7f6,c7c6,9.0,0.0501,-0.0422,False
r1bq1rk1/ppbn1pp1/2p1p2p/3P4/4P3/P1N1BN2/1PQ2PPP/3R1RK1 b - - 0 16,32,YxIwGvic,c6d5,-56,33,c6d5,0.4647,0.4855,0.4561,0.3537,c6d5,c6d5,e6d5,e6d5,23.0,0.4855,-0.111,False
r1b2rk1/ppbnqpp1/4p2p/1N1P4/8/P3BN2/1PQ2PPP/3R1RK1 b - - 2 18,36,YxIwGvic,c7b6,-154,77,c7b6,0.2666,0.3694,0.443,0.4779,c7b6,c7b6,c7b6,c7b6,0.0,0.4779,0.2113,False
r1b2rk1/pp1n1pp1/1b1Ppq1p/1N6/8/P2RBN2/1PQ2PPP/5RK1 b - - 2 20,40,YxIwGvic,b6e3,-93,27,f6f5,0.2935,0.3306,0.3328,0.3569,b6e3,b6e3,b6e3,b6e3,0.0,0.3569,0.0634,False
r1b2rk1/pp1n1pp1/1b1Pp1qp/1N6/3N4/P2RB3/1PQ2PPP/3R2K1 b - - 6 22,44,YxIwGvic,e6e5,18,12,d7c5,0.1996,0.1468,0.0964,0.0827,d7e5,d7e5,d7e5,d7e5,98.0,0.1996,-0.1169,False
r1b2rk1/pp3pp1/1b1Pp2p/1Nn5/3N4/P3B3/1PR2PPP/3R2K1 b - - 0 24,48,YxIwGvic,c8d7,-6,43,c8d7,0.2906,0.358,0.4684,0.6197,c8d7,c8d7,c8d7,c8d7,0.0,0.6197,0.3291,False
2r2rk1/ppNb1pp1/1b1Pp2p/1Nn5/8/P3B3/1PR2PPP/3R2K1 b - - 4 26,52,YxIwGvic,f8d8,-4,5,d7b5,0.0118,0.0099,0.0081,0.0079,c5e4,c5e4,c5e4,c5e4,13.0,0.0118,-0.0039,False
2R2rk1/pp1n1pp1/1b1Pp2p/1N6/8/P3B3/1P3PPP/3R2K1 b - - 0 28,56,YxIwGvic,f8c8,-34,583,f8c8,0.9624,0.9658,0.9686,0.9735,f8c8,f8c8,f8c8,f8c8,0.0,0.9735,0.0111,False
2r3k1/1pNn1pp1/1p1Pp2p/8/8/P7/1P3PPP/3R2K1 b - - 1 30,60,YxIwGvic,c8d8,-31,3,c8d8,0.102,0.0739,0.0413,0.0194,g8f8,g8f8,g8f8,g8f8,7.0,0.102,-0.0826,False
3r2k1/1pN2pp1/1p1Pp2p/2n5/5P2/P7/1P3KPP/3R4 b - - 2 32,64,YxIwGvic,c5e4,90,2,c5e4,0.8037,0.7702,0.6723,0.5056,c5e4,c5e4,c5e4,c5e4,0.0,0.8037,-0.2981,False
