fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core,family,piece,capture,check,quiet,phase,advance,retreat,pawn_move,king_move,toward_own_king
8/6pk/2p5/P2b4/1P4q1/2Q5/6PK/6R1 b - - 1 34,68,XUYNlcpO,h7g8,-398,120,h7g8,0.0072,0.0064,0.0092,0.0188,g4h4,g4h4,g4h4,g4h4,216.0,0.0188,0.0116,True,club,03_disagreements,2107,2173,2173,True,False,5,king,False,False,True,endgame,False,True,False,True,False
r2q1r1k/pp1b3p/1n2pb2/4B3/2PP1N2/1P2Q2P/P1R5/4KNR1 b - - 2 24,48,Hkk7cbBb,d7e8,-511,127,d8e7,0.0179,0.0174,0.0171,0.017,f6e5,f6e5,f6e5,f6e5,1475.0,0.0179,-0.0009,True,club,03_disagreements,1996,2031,2031,False,True,6,bishop,False,False,True,middlegame,False,True,False,False,False
1r6/1p1q1pk1/pR1p2pp/3Ppn2/2P1n3/5N2/PQ3PPP/1R4K1 b - - 3 26,52,KEezw1Yx,d7e7,-195,38,e4c5,0.0143,0.0106,0.0084,0.0092,e4c5,e4c5,e4c5,e4c5,244.0,0.0143,-0.0051,True,club,03_disagreements,2097,2095,2095,False,True,2,queen,False,False,True,middlegame,False,False,False,False,False
rn1q4/pp1b1kp1/2pP1p2/4Q1B1/7N/2P5/PPP3PP/R4RK1 b - - 0 24,48,3Y7KRrw3,d7e8,-817,18,d8b6,0.0037,0.0039,0.0046,0.0045,d8b6,d8b6,d8b6,d7e6,250.0,0.0046,0.0008,True,club,03_disagreements,1827,1907,1907,False,True,1,bishop,False,False,True,middlegame,False,True,False,False,False
r3r1k1/1ppq4/pb1pN2p/3P2p1/3Pn3/1Q3N1P/P2B1PP1/R5K1 b - - 1 20,40,wGhEsRRL,d7b5,204,86,d7f7,0.0192,0.0215,0.0256,0.0307,e4d2,e4d2,e4d2,e4d2,239.0,0.0307,0.0115,True,club,03_disagreements,2028,1946,1946,False,True,2,queen,False,False,True,middlegame,True,False,False,False,False
rr4k1/2pq1ppp/2pbp3/5b2/pn2N3/2PP1Q1P/PP3PP1/R1BBR1K1 b - - 1 16,32,wcfP6j8O,b4d3,228,183,b4d3,0.0401,0.0375,0.0388,0.0374,b4d5,b4d5,b4d5,b4d5,247.0,0.0401,-0.0027,True,club,03_disagreements,1890,1863,1863,True,False,2,knight,True,False,False,middlegame,True,False,False,False,False
2r1k2r/pR1nNpp1/4p1p1/6P1/3P4/5Q1P/P1q2P2/2B1R1K1 b k - 0 20,40,KMkj8gty,c8c3,-417,72,e8e7,0.0479,0.036,0.0256,0.0224,e8e7,e8e7,e8e7,e8e7,655.0,0.0479,-0.0255,True,club,03_disagreements,2166,2106,2106,False,True,6,rook,False,False,True,middlegame,True,False,False,False,False
rn3r2/pp2p1kp/2p3p1/3pPq2/3P3P/3Q1P2/PPP1K3/RN5R b - - 2 16,32,TNsrzgx8,c6c5,146,24,f5d3,0.0126,0.0106,0.013,0.0145,f5d3,f5d3,f5d3,f5f4,112.0,0.0145,0.0019,True,club,03_disagreements,1919,1937,1937,False,True,0,pawn,False,False,True,middlegame,True,False,True,False,False
r1b4r/pp3kp1/2p5/1n1pBP2/6P1/3P2K1/PPP5/RN6 b - - 4 26,52,ss7tWtvS,c8f5,413,59,h8h1,0.0091,0.0064,0.0049,0.0045,h8h1,c8d7,c8d7,c8d7,103.0,0.0091,-0.0046,True,club,03_disagreements,1876,1863,1863,False,True,4,bishop,True,False,False,middlegame,True,False,False,False,False
2kr4/ppb2R2/8/2p4p/1q4pP/2N1P3/PP1R1PP1/3Q2K1 b - - 0 34,68,4X0qke7z,c7h2,-812,13,g4g3,0.0059,0.0047,0.0036,0.0029,d8d2,d8d2,d8d2,d8d2,152.0,0.0059,-0.003,True,club,03_disagreements,1982,1878,1878,False,True,1,bishop,False,True,False,middlegame,True,False,False,False,False
2rq1rk1/1b3p2/1p2p3/p1b1P1p1/P5p1/1P1PN1P1/1QN2P1P/3RR1K1 b - - 4 26,52,ZQiinlSb,g8g7,46,54,g8g7,0.0362,0.0464,0.0459,0.0354,b7f3,b7f3,b7f3,b7f3,166.0,0.0464,-0.0008,True,club,03_disagreements,2116,2123,2123,True,False,2,king,False,False,True,middlegame,True,False,False,True,False
r1b1k2r/ppp2ppp/2n1p3/2Np4/8/3B4/PPPN2PP/R4K1R b kq - 1 14,28,WfaSyiJE,e8e7,-23,12,e8g8,0.0017,0.0027,0.0074,0.0343,b7b6,b7b6,b7b6,b7b6,102.0,0.0343,0.0326,True,club,03_disagreements,2161,2032,2032,False,True,7,king,False,False,True,middlegame,True,False,False,True,False
r1b2rk1/5ppp/2p5/p3P3/Pp3N1Q/1B2q2P/1PP3P1/5R1K b - - 2 24,48,jkthL8ab,a8a7,149,51,c8a6,0.005,0.0062,0.0065,0.0076,e3e5,e3e5,e3e5,e3e5,199.0,0.0076,0.0026,True,club,03_disagreements,1874,1962,1962,False,True,0,rook,False,False,True,middlegame,True,False,False,False,False
r4rk1/5ppp/b1p1P3/p7/Pp3N1Q/1B5P/1PPq2P1/4R2K b - - 0 26,52,jkthL8ab,a8a7,-465,32,g7g6,0.0099,0.016,0.0205,0.0245,f7e6,f7e6,f7e6,f7e6,520.0,0.0245,0.0146,True,club,03_disagreements,1874,1962,1962,False,True,6,rook,False,False,True,middlegame,True,False,False,False,False
1r1r4/p5bk/8/2p3qp/2NpPpP1/1PPR4/P4Q1P/3R2K1 b - - 0 30,60,bKScTyX2,d4c3,263,90,h5g4,0.0033,0.0018,0.0016,0.0026,g5g4,g5g4,g5g4,g5g4,228.0,0.0033,-0.0007,True,club,03_disagreements,1970,1963,1963,False,True,0,pawn,True,False,False,middlegame,True,False,True,False,False
2r3k1/pp1qRppp/n7/Q2b2B1/3P4/6P1/PP3P1P/6K1 b - - 1 22,44,U67JkNqw,d7e7,558,107,d7c6,0.0133,0.0084,0.0051,0.0045,d7c6,d7c6,d7c6,d7c6,109.0,0.0133,-0.0088,True,club,03_disagreements,1912,1898,1898,False,True,4,queen,True,False,False,middlegame,False,False,False,False,False
r1b1kbnr/ppQp2pp/3n4/4qP2/4p3/8/PPPPNPPP/RNB2RK1 b kq - 0 10,20,50ivql8o,b7b6,308,18,g8f6,0.0046,0.0059,0.0064,0.005,d6f5,d6f5,d6f5,d6f5,918.0,0.0064,0.0004,True,club,03_disagreements,1895,1879,1879,False,True,4,pawn,False,False,True,opening,True,False,True,False,False
r1b1k1n1/pppp1p2/8/3P4/5pp1/2P5/PP4P1/RNB1K3 b Qq - 0 16,32,SRiomDPO,g8e7,255,93,f4f3,0.0088,0.0083,0.0057,0.0044,f4f3,f4f3,f4f3,f4f3,137.0,0.0088,-0.0044,True,club,03_disagreements,1802,1878,1878,False,True,0,knight,False,False,True,endgame,True,False,False,False,False
2kr4/ppp2p2/3p1n2/3P2K1/2P3b1/8/PP6/RNB5 b - - 4 22,44,SRiomDPO,f6d5,-54,97,d8e8,0.0033,0.0029,0.0031,0.0033,f6e4,f6e4,f6e4,f6e4,216.0,0.0033,0.0,True,club,03_disagreements,1802,1878,1878,False,True,0,knight,True,False,False,endgame,True,False,False,False,False
8/1QR2pbk/6p1/1P1Np2p/P2nP2P/8/5PPK/4q3 b - - 6 34,68,wQo6NXYY,d4e2,1987,1987,e1f2,0.0484,0.0334,0.0232,0.0209,e1f2,e1f2,e1f2,e1f2,1987.0,0.0484,-0.0275,True,club,03_disagreements,1876,1873,1873,False,True,6,knight,False,False,True,endgame,True,False,False,False,False
r4rk1/1b1p1p2/3N2p1/4N1Qp/4P2P/P7/1P3qP1/1K5R b - - 0 22,44,NoOt7opT,f8b8,406,130,a8b8,0.0073,0.0062,0.006,0.0076,b7e4,b7e4,b7e4,b7e4,714.0,0.0076,0.0003,True,club,03_disagreements,1974,1982,1982,False,True,0,rook,False,False,True,middlegame,False,False,False,False,False
r4qk1/2p1b1p1/1pN2p1p/pP1r4/2QP4/P3P2P/5PP1/R4RK1 b - - 3 26,52,eeFGKExL,g8h7,-540,2,a8d8,0.0258,0.0198,0.016,0.015,f8f7,f8f7,f8f7,f8f7,293.0,0.0258,-0.0108,True,club,03_disagreements,1875,1876,1876,False,True,1,king,False,False,True,middlegame,True,False,False,True,False
r1r1b1k1/pp2qpp1/4p2p/2n1N3/2RN1P2/1P4Q1/P5PP/4R1K1 b - - 0 24,48,9EFUuGbC,c5a6,186,102,b7b5,0.0409,0.0399,0.0418,0.0384,c5d7,c5d7,c5d7,b7b5,128.0,0.0418,-0.0025,True,club,03_disagreements,1823,1938,1938,False,True,0,knight,False,False,True,middlegame,False,True,False,False,False
4r1k1/3Q2pp/4ppb1/p7/3P4/1P2PP1K/r6P/6R1 b - - 5 34,68,8SZ2oxr5,g6f7,-247,82,a2b2,0.0194,0.0236,0.0243,0.0219,g6f5,g6f5,g6f5,a2e2,395.0,0.0243,0.0025,True,club,03_disagreements,2059,2194,2194,False,True,5,bishop,False,False,True,endgame,False,True,False,False,False
rn2k2r/ppp1nppp/5q2/3P4/2B4b/2N4b/PPPPQ2N/R1B3RK b kq - 6 12,24,dJcUkGAg,f6f2,38,110,b8d7,0.0462,0.0286,0.0184,0.0123,e8g8,e8g8,e8g8,e8g8,115.0,0.0462,-0.0339,True,club,03_disagreements,1993,1942,1942,False,True,2,queen,False,False,True,opening,True,False,False,False,False
r3kbnr/pp1b1ppp/2n1p3/3pP3/R2P4/2PBB3/1q3PPP/1N1QK1NR b Kkq - 4 10,20,tai9Te7y,a7a6,0,25,a7a6,0.0135,0.0118,0.0091,0.0068,c6e5,c6e5,c6e5,c6e5,331.0,0.0135,-0.0067,True,club,03_disagreements,2108,2123,2123,True,False,3,pawn,False,False,True,opening,True,False,True,False,False
r2r2k1/1p4bp/2pNpnp1/p1P5/2NpP3/P6P/1P3PP1/R3K2R b KQ - 1 20,40,n0Sg3gMb,a5a4,0,0,b7b5,0.0384,0.0294,0.0232,0.0213,g7f8,g7f8,g7f8,g7f8,202.0,0.0384,-0.0171,True,club,03_disagreements,2228,2102,2102,False,True,2,pawn,False,False,True,middlegame,True,False,True,False,False
2r3k1/1r5p/1P2p1p1/2b1N3/2Np1PPn/P6P/1P6/1K1R3R b - - 4 30,60,n0Sg3gMb,c8a8,-377,18,c5b6,0.0078,0.0065,0.0046,0.0038,h4g2,c5b6,c5b6,c5b6,106.0,0.0078,-0.004,True,club,03_disagreements,2228,2102,2102,False,True,1,rook,False,False,True,middlegame,False,False,False,False,False
5qk1/1p1Q3p/p2br1p1/3p4/P5R1/2PB3P/5PP1/6K1 b - - 2 30,60,LwGqOM2R,e6e7,638,638,e6e1,0.0208,0.0149,0.0128,0.0109,e6e1,e6e1,e6e1,e6e1,644.0,0.0208,-0.0099,True,club,03_disagreements,2034,2033,2033,False,True,0,rook,False,False,True,endgame,False,True,False,False,False
r2qr1k1/1pp2pbp/p1n1bnp1/3p4/3P1B2/P1N1PN1P/1P2BPP1/2RQ1RK1 b - - 0 12,24,tokLHJ8O,g7f8,-99,0,d8d7,0.0048,0.0051,0.0047,0.0051,b7b5,b7b5,d8d7,d8d7,105.0,0.0051,0.0003,True,club,03_disagreements,1824,1841,1841,False,True,3,bishop,False,False,True,opening,False,True,False,False,False
r3r1k1/pp3ppp/5q2/2b5/P4Nnn/3B3R/1PPB4/R2Q1K2 b - - 3 22,44,zADakUT5,f6d4,941,133,g4e3,0.0222,0.0197,0.0189,0.0239,g4e3,g4e3,g4e3,g4e3,261.0,0.0239,0.0017,True,club,03_disagreements,1949,1898,1898,False,True,4,queen,False,False,True,middlegame,True,False,False,False,False
8/1R6/p5pb/k2N4/4r1P1/8/PPP5/1K1R4 b - - 0 32,64,quD2llwO,h6f8,-765,28,e4g4,0.0119,0.0131,0.0135,0.017,e4g4,e4g4,e4g4,e4g4,205.0,0.017,0.0051,True,club,03_disagreements,1961,1880,1880,False,True,1,bishop,False,False,True,endgame,False,True,False,False,False
r1r5/1p1k1pp1/2q1p2p/P2pP3/5P2/8/3N2PP/QR5K b - - 0 24,48,owOZ8uBD,a8a5,535,141,c8c7,0.0113,0.0114,0.0113,0.0102,b7b6,c6c3,c6c3,c6c3,129.0,0.0114,-0.0011,True,club,03_disagreements,1873,1948,1948,False,True,4,rook,True,False,False,endgame,True,False,False,False,False
r1b1k2r/p4ppp/2pqp3/1p5Q/2p1P2P/P1Nn2P1/1P3PB1/3R1RK1 b kq - 1 18,36,GFBX5Vxo,e6e5,285,54,e8g8,0.0423,0.0458,0.0454,0.0467,g7g6,e8g8,d6e5,d6e5,130.0,0.0467,0.0044,True,club,03_disagreements,2013,1981,1981,False,True,0,pawn,False,False,True,middlegame,True,False,True,False,False
kr6/5p1p/4bp2/2p2P2/3pR1P1/qP1P3P/1NP5/1K1R4 b - - 0 30,60,8FPn7lBJ,b8b3,536,104,e6d5,0.0041,0.0037,0.0038,0.0049,e6b3,e6b3,e6b3,e6b3,155.0,0.0049,0.0008,True,club,03_disagreements,2026,2050,2050,False,True,4,rook,True,False,False,endgame,True,False,False,False,False
2r1kb1r/Nppn1ppp/4p3/4P3/1PB3b1/3PQ1P1/P1PB3q/R3K1R1 b Qk - 0 18,36,kMr4oeWP,d7e5,424,159,c8a8,0.0097,0.004,0.0025,0.0021,c8a8,c8a8,c8a8,c8a8,190.0,0.0097,-0.0076,True,club,03_disagreements,1870,2001,2001,False,True,0,knight,True,False,False,middlegame,True,False,False,False,False
2r1kb1r/Nppn1ppp/4p3/4P3/1PB3b1/3PQ1P1/P1PB3q/R3K1R1 b Qk - 4 20,40,kMr4oeWP,d7e5,410,131,c8d8,0.0097,0.004,0.0025,0.0021,c8a8,c8a8,c8a8,c8a8,171.0,0.0097,-0.0076,True,club,03_disagreements,1870,2001,2001,False,True,0,knight,True,False,False,middlegame,True,False,False,False,False
r2q1rk1/p3b3/1p2R1bp/3p1pp1/3P4/1QP3N1/PP1B1PPP/R5K1 b - - 1 22,44,1HMEsCjM,d8d7,-92,36,g6f7,0.0102,0.005,0.0031,0.0028,f8f6,f8f6,g8g7,g8g7,202.0,0.0102,-0.0074,True,club,03_disagreements,1857,1847,1847,False,True,6,queen,False,False,True,middlegame,True,False,False,False,False
r4rk1/p3qb2/1p5R/3p2p1/3P1p2/1QP5/PP1B1PPP/4R1K1 b - - 1 26,52,1HMEsCjM,e7e1,-476,117,e7d7,0.0493,0.0343,0.0272,0.022,e7d7,e7d7,e7d7,e7d7,317.0,0.0493,-0.0273,True,club,03_disagreements,1857,1847,1847,False,True,6,queen,True,True,False,middlegame,True,False,False,False,False
8/1bp1nk2/1q2pp2/1P1p2p1/3P3p/r1PNPN1P/2Q2PP1/5RK1 b - - 8 24,48,7KZFSaU8,f7g7,-212,44,b6b5,0.0005,0.0007,0.0011,0.0018,b6b5,b6b5,b6b5,b6b5,158.0,0.0018,0.0013,True,club,03_disagreements,1916,1863,1863,False,True,6,king,False,False,True,middlegame,False,False,False,True,False
8/1bp1nk2/q3pp2/2Np2p1/3P3p/r1P1PN1P/2Q2PP1/1R4K1 b - - 3 26,52,7KZFSaU8,e7f5,-504,65,a3a2,0.0007,0.0004,0.0002,0.0001,a6c6,a6a7,a6a7,a6a7,1488.0,0.0007,-0.0006,True,club,03_disagreements,1916,1863,1863,False,True,1,knight,False,False,True,middlegame,True,False,False,False,False
r1b3k1/1p1p1r1p/pq2n2Q/5p2/2B2P1P/8/PB3RP1/3R2K1 b - - 1 22,44,2nJ3npPd,a6a5,-742,8,b6c7,0.035,0.026,0.02,0.0169,b6b2,b6c5,b6c5,b6c5,1254.0,0.035,-0.0181,True,club,03_disagreements,1891,1990,1990,False,True,1,pawn,False,False,True,middlegame,True,False,True,False,False
8/pppk4/4pp1p/3r4/8/K1Pn3R/5PPP/5R2 b - - 4 26,52,0mmS2wIJ,d3e5,-16,6,h6h5,0.0216,0.023,0.0237,0.0197,h6h5,h6h5,h6h5,h6h5,226.0,0.0237,-0.0019,True,club,03_disagreements,2193,2188,2188,False,True,0,knight,False,False,True,endgame,False,True,False,False,False
7r/p2Nnpk1/1qp1p1p1/4P1B1/2p3P1/2Pb4/P2Q1PK1/R7 b - - 0 28,56,OJiE9v1e,e7d5,-575,40,b6d8,0.0248,0.023,0.0265,0.034,b6b7,b6b7,b6b7,b6b7,605.0,0.034,0.0092,True,club,03_disagreements,1837,1824,1824,False,True,6,knight,False,False,True,middlegame,True,False,False,False,False
3q2kB/p2Nnp2/2p1p1p1/4P3/2p3P1/2Pb4/P2Q1PK1/R7 b - - 0 30,60,OJiE9v1e,d3e4,-877,135,d8d7,0.025,0.0177,0.0105,0.0062,g8h8,g8h8,g8h8,g8h8,1121.0,0.025,-0.0188,True,club,03_disagreements,1837,1824,1824,False,True,1,bishop,False,True,False,middlegame,False,True,False,False,False
r1b2rk1/ppp2ppp/2n5/2b1P3/5P2/5N2/PPP1K1PP/R1B2B1R b - - 4 10,20,8YNV2CAi,c6b4,0,64,c8g4,0.0295,0.0232,0.0259,0.0432,c8g4,c8g4,c8g4,c8g4,115.0,0.0432,0.0137,True,club,03_disagreements,1870,1911,1911,False,True,3,knight,False,False,True,opening,True,False,False,False,False
r3k2r/1b2b2p/p1nqNn2/8/Pp6/7Q/BPP2PPP/R1B1R1K1 b - - 4 20,40,oF60vL8I,h8g8,-477,69,a8d8,0.0497,0.0386,0.038,0.035,b7c8,b7c8,b7c8,b7c8,134.0,0.0497,-0.0147,True,club,03_disagreements,1962,1965,1965,False,True,6,rook,False,False,True,middlegame,False,False,False,False,False
3rk2r/1b2b2p/p2qNn2/4B3/Pp6/7Q/BPP2PPP/R3R1K1 b - - 0 22,44,oF60vL8I,f6e4,-821,9,d6c6,0.0016,0.0012,0.0009,0.0007,d6d2,d6d2,d6c6,d6c6,125.0,0.0016,-0.0009,True,club,03_disagreements,1962,1965,1965,False,True,1,knight,False,False,True,middlegame,True,False,False,False,False
5k1r/1b1Qb2p/p7/6q1/Pp6/6P1/BPP2P1P/3RR1K1 b - - 0 30,60,oF60vL8I,b7h1,-1044,41,b7f3,0.0025,0.0045,0.0066,0.0081,b7f3,b7f3,b7f3,b7f3,944.0,0.0081,0.0056,True,club,03_disagreements,1962,1965,1965,False,True,1,bishop,False,False,True,middlegame,True,False,False,False,False
3rk2r/ppq1bpp1/1n2pn1p/2pP4/2P4P/2BQ1NN1/PP3PP1/1K1RR3 b k - 0 16,32,Q0T226Ot,f6g4,-221,2,e6d5,0.0404,0.0241,0.0127,0.0054,e6d5,e6d5,e6d5,e6d5,288.0,0.0404,-0.035,True,club,03_disagreements,1840,1829,1829,False,True,6,knight,False,False,True,middlegame,True,False,False,False,False
3rk2r/ppq1bpp1/1n3n1p/2p2N2/2p4P/2B2N2/PP2QPP1/1K1RR3 b k - 1 18,36,Q0T226Ot,f6g8,-477,1,b6d5,0.0071,0.0054,0.004,0.0035,d8d1,d8d1,d8d1,b6d5,119.0,0.0071,-0.0036,True,club,03_disagreements,1840,1829,1829,False,True,6,knight,False,False,True,middlegame,False,True,False,False,False
8/ppq1NkB1/5p1p/2pr4/2p3nP/5N2/PP2QPP1/1K2R3 b - - 0 24,48,Q0T226Ot,c7d6,-799,3,d5h5,0.0157,0.0142,0.0136,0.0147,f7g7,f7g7,f7g7,f7g7,237.0,0.0157,-0.001,True,club,03_disagreements,1840,1829,1829,False,True,1,queen,False,False,True,middlegame,True,False,False,False,False
r4rk1/6b1/3p1NR1/2pPq3/1pP5/pP2B3/P2N4/1QK4R b - - 0 28,56,pL2KZ01P,e5f6,-811,59,f8f6,0.0152,0.0107,0.0077,0.0056,f8f6,f8f6,f8f6,f8f6,366.0,0.0152,-0.0096,True,club,03_disagreements,2000,1972,1972,False,True,1,queen,True,False,False,middlegame,False,True,False,False,False
1rb2rk1/1p1p1ppp/p2N4/4b3/1PP5/4PB2/P4P1P/1R1R2K1 b - - 1 22,44,NpBkJhog,g7g6,-215,19,e5d6,0.0218,0.0213,0.0246,0.0483,e5d6,e5d6,b7b5,b7b5,116.0,0.0483,0.0265,True,club,03_disagreements,2061,2120,2120,False,True,5,pawn,False,False,True,middlegame,True,False,True,False,False
r3kb1r/5p2/3p3p/1p2p1p1/p2P4/2P1Pq2/BPQ5/R2R2K1 b kq - 0 26,52,u9Ht2Q8H,f8g7,275,33,f3e3,0.0041,0.0041,0.005,0.0089,f3e3,f3e3,f3e3,f3e3,221.0,0.0089,0.0048,True,club,03_disagreements,1962,2037,2037,False,True,0,bishop,False,False,True,middlegame,True,False,False,False,False
r3r1k1/pp3ppp/3p4/n1p1pNq1/4P3/2PP1Q2/PPB1KP2/6RR b - - 1 20,40,XPd7mHZC,g5g6,-861,1,g5f6,0.0034,0.0019,0.0011,0.0007,g5f6,g5f6,g5f6,g5f6,165.0,0.0034,-0.0027,True,club,03_disagreements,1882,1852,1852,False,True,1,queen,False,False,True,middlegame,False,True,False,False,False
r2qkb1r/1p4pp/p2p1p1n/2p1n3/8/1PN1P2N/PBP2PP1/R2QK2R b KQkq - 1 12,24,5Nk2VPjJ,d8e7,-168,4,f8e7,0.012,0.014,0.0151,0.0108,f8e7,f8e7,f8e7,f8e7,120.0,0.0151,-0.0012,True,club,03_disagreements,1826,1811,1811,False,True,2,queen,False,False,True,opening,True,False,False,False,False
r2r2k1/pQp1qpbp/6p1/8/1PP5/P2b1B2/R4PPP/2BR2K1 b - - 2 18,36,UGZv44oL,d3e4,375,390,d3c4,0.0148,0.0105,0.0076,0.007,d3c4,d3c4,d3c4,d3c4,446.0,0.0148,-0.0078,True,club,03_disagreements,2054,2181,2181,False,True,0,bishop,False,False,True,middlegame,False,True,False,False,False
3q2k1/pQp2p1p/6pB/8/1Pb5/P1b2B2/5PPP/6K1 b - - 1 22,44,UGZv44oL,c3d2,-10,8,a7a5,0.0208,0.0205,0.0182,0.0162,c3g7,c3g7,c3g7,c3g7,175.0,0.0208,-0.0046,True,club,03_disagreements,2054,2181,2181,False,True,5,bishop,False,False,True,endgame,True,False,False,False,False
2k3rr/pp3pp1/2q1p3/2ppP2p/3P1P1Q/2P5/PP1BN3/R5K1 b - - 0 22,44,oolVGWz8,c5c4,19,0,c5d4,0.0396,0.031,0.026,0.0206,g7g5,g7g5,g7g5,g7g5,129.0,0.0396,-0.019,True,club,03_disagreements,1979,1961,1961,False,True,7,pawn,False,False,True,middlegame,True,False,True,False,False
r1b1r1k1/2qn1p2/2p4Q/pp2p3/4N2b/PB5P/1PP2PP1/3R1RK1 b - - 0 20,40,kTEvY7pu,d7f6,-512,44,c7d8,0.0058,0.0044,0.0031,0.0012,h4e7,h4e7,h4e7,h4e7,1480.0,0.0058,-0.0046,True,club,03_disagreements,1829,1822,1822,False,True,6,knight,False,False,True,middlegame,True,False,False,False,False
