fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r1bqk2r/4ppbp/pp1p1np1/8/P3P3/2PBB3/1P2NPPP/R2Q1RK1 b kq - 1 12,24,?,f6g4,-24,6,e8g8,0.0521,0.0499,0.0547,0.0716,c8b7,c8b7,c8b7,c8b7,18.0,0.0716,0.0195,False
r1b2rk1/2q1ppbp/pp1p1np1/8/P3P3/1QPBBP2/1P2N1PP/R4RK1 b - - 2 14,28,?,f6d7,-10,16,a8b8,0.1181,0.1519,0.1751,0.1925,c8e6,c8e6,c8e6,c8e6,11.0,0.1925,0.0744,False
1r3rk1/2q1ppbp/pp1pbnp1/8/P3P3/Q1PBBP2/1P2N1PP/R2R2K1 b - - 6 16,32,?,e6c4,-1,16,f6d7,0.1336,0.1858,0.2346,0.2284,a6a5,a6a5,a6a5,a6a5,66.0,0.2346,0.0948,False
1r3rk1/2q1ppbp/pp1pN1p1/2n5/P3P3/Q1PBBP2/1P4PP/R2R2K1 b - - 0 18,36,?,f7e6,-117,77,f7e6,0.2629,0.2923,0.3595,0.3955,c5e6,c5e6,c5e6,c5e6,57.0,0.3955,0.1326,False
1r3rk1/4p1bp/pp1pp1p1/2q5/P3P3/Q1PB1P2/1P4PP/R2R3K b - - 1 20,40,?,c5h5,126,82,a6a5,0.0436,0.0534,0.0736,0.097,c5a3,c5a3,c5a3,c5a3,134.0,0.097,0.0534,False
1r3rk1/4p1bp/1p2p1p1/pBqp4/P3P3/1QP2P2/1P4PP/R2R3K b - - 1 22,44,?,g7e5,26,23,b8d8,0.0416,0.0252,0.0135,0.0074,f8d8,f8d8,f8d8,b8d8,18.0,0.0416,-0.0342,False
5rk1/4p1bp/1p1rp1p1/pBqp4/P3P3/1QPR1P2/1P4PP/3R3K b - - 5 24,48,?,g7e5,16,8,f8d8,0.05,0.0272,0.0128,0.0078,f8d8,f8d8,f8d8,f8d8,10.0,0.05,-0.0422,False
3r2k1/4p1bp/1p1r2p1/pBqp4/P7/1QPR1P1P/1P4P1/3R3K b - - 0 26,52,?,g7e5,39,14,g7f6,0.0769,0.0512,0.0328,0.0236,e7e6,e7e6,e7e6,e7e6,33.0,0.0769,-0.0533,False
3r4/4p1kp/Bp1r1bp1/p1qp4/P4P2/1QPR3P/1P4P1/3R3K b - - 2 28,56,?,d5d4,48,13,d5d4,0.4241,0.4476,0.4585,0.3941,d5d4,d5d4,d5d4,d5d4,0.0,0.4585,-0.03,False
3r4/4p1kp/Bp3bp1/p1q5/P2R1P2/1Q5P/1P4P1/3R3K b - - 0 30,60,?,d8d4,55,36,d8d4,0.7573,0.809,0.8411,0.8677,d8d4,d8d4,d8d4,d8d4,0.0,0.8677,0.1104,False
