fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core,family,sim,margin
8/5kpp/p3bp2/1pPNp3/3nP3/3BKP2/6PP/8 b - - 5 34,68,E2025-10_183,e6d7,426,86,e6d7,0.0222,0.0213,0.0224,0.0249,e6d5,e6d5,e6d5,e6d5,291.0,0.0249,0.0027,True,elite,03_elite_bands2,2769,2635,2635,True,False,0,0.5895,0.0821
rn1qkb1r/pp3p1p/3p1np1/2pP4/4PPb1/1QN5/PP4PP/R1B1KBNR b KQkq - 2 8,16,E2025-10_184,f6h5,-83,25,f6h5,0.0036,0.0027,0.0019,0.0016,b7b6,b7b6,b7b6,b7b6,174.0,0.0036,-0.002,True,elite,03_elite_bands2,2644,2676,2676,True,False,3,0.7201,0.1585
r2q1rk1/pp1n1p1p/3p2pb/2pP3n/4PPb1/1QN1B1P1/PP2N1BP/R3K2R b KQ - 4 12,24,E2025-10_184,b7b5,3,7,a8b8,0.0067,0.0041,0.0039,0.0095,b7b6,b7b6,b7b6,b7b6,104.0,0.0095,0.0028,True,elite,03_elite_bands2,2644,2676,2676,False,True,2,0.7001,0.1287
1q2r1k1/5p1p/2Rp1npb/3PP3/1rp2P2/2Nn2PP/1PQ3B1/2B2RK1 b - - 0 24,48,E2025-10_184,f6h5,43,43,f6h5,0.0475,0.0475,0.0461,0.0467,d6e5,d6e5,d6e5,d6e5,144.0,0.0475,-0.0008,True,elite,03_elite_bands2,2644,2676,2676,True,False,2,0.554,0.0231
r1b4r/pp1qnpk1/2n1p1pp/8/2BNN3/1R4Q1/P1P2PPP/3R2K1 b - - 0 18,36,E2025-10_186,d7e8,-317,13,c6d4,0.0069,0.0116,0.023,0.0332,c6d4,c6d4,c6d4,c6d4,490.0,0.0332,0.0263,True,elite,03_elite_bands2,2653,2611,2611,False,True,6,0.6348,0.1736
rnbqkb1r/pp3ppp/5n2/3P4/8/2NB4/PP3PPP/R1BQK1NR b KQkq - 0 8,16,E2025-10_189,f8d6,-153,6,f8d6,0.0044,0.0058,0.01,0.0492,f6d5,f6d5,f6d5,f6d5,343.0,0.0492,0.0448,True,elite,03_elite_bands2,2513,2561,2561,True,False,3,0.6984,0.3371
1rbqr1k1/2p2pp1/1b5p/pP2N3/3P4/4P2P/1P1N2P1/2RQR1K1 b - - 0 20,40,E2025-10_191,b6d4,-5,50,d8g5,0.0386,0.0318,0.0268,0.028,f7f6,c8b7,c8b7,c8b7,108.0,0.0386,-0.0106,True,elite,03_elite_bands2,2658,2654,2654,False,True,2,0.6087,0.0286
r3r3/pb1nqpk1/1p4pp/3pP3/2pP1P2/P1P3N1/2BQ2PP/4RRK1 b - - 0 20,40,E2025-10_194,e8f8,-440,35,e7a3,0.0189,0.0181,0.0146,0.0096,e7a3,e7a3,e7a3,e7a3,181.0,0.0189,-0.0093,True,elite,03_elite_bands2,2592,2414,2414,False,True,1,0.7539,0.005
r5k1/p1R2R1p/6p1/8/4r3/4B3/Pb3KPP/8 b - - 1 22,44,E2025-10_201,e4a4,-10,14,a8f8,0.0291,0.0232,0.0207,0.0215,a8f8,a8f8,a8f8,a8f8,221.0,0.0291,-0.0076,True,elite,03_elite_bands2,2760,2652,2652,False,True,5,0.5733,0.0785
r3k2r/p1p1nppp/1pnq4/4p3/3P4/PQP1PP2/5PBP/1RB1K2R b Kkq - 3 12,24,E2025-10_203,a8d8,70,0,e8g8,0.0032,0.0051,0.0075,0.013,e5d4,e5d4,e5d4,e5d4,125.0,0.013,0.0098,True,elite,03_elite_bands2,2636,2656,2656,False,True,2,0.5695,0.0492
1k1r2r1/1pp2p2/5n2/1q2pPp1/2NpP3/3P4/PP1Q1P2/1K1R2R1 b - - 2 26,52,E2025-10_204,f6e4,98,170,f6e4,0.0358,0.0356,0.0381,0.0457,g5g4,g5g4,g5g4,g5g4,185.0,0.0457,0.0099,True,elite,03_elite_bands2,2503,2570,2570,True,False,5,0.5742,0.0169
