fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core,family,sim,margin
2k4r/pp1b4/5P2/q2p4/2p1r1nP/P1P2Q1R/2PB1P2/R2K1B2 b - - 3 22,44,PatKfN20,g4e3,175,86,h8f8,0.0038,0.0031,0.0026,0.0022,g4e5,g4e5,g4e5,g4e5,201.0,0.0038,-0.0016,True,club,03_bands_club,2309,2285,2285,False,True,0,0.5344,0.0483
2b2r1k/1p1n2p1/3q3p/1P1N1p2/2BPn3/r3PN2/1Q3PPP/1R3RK1 b - - 2 22,44,uwRe2x8V,e4g5,-383,3,a3a8,0.0075,0.006,0.0049,0.0044,a3a4,a3a4,d7b6,d7b6,124.0,0.0075,-0.0031,True,club,03_bands_club,2287,2265,2265,False,True,6,0.7185,0.1476
r7/p2n1p1k/4b1pp/N1p5/N1PbP3/6PP/PP1r1PB1/R4RK1 b - - 6 20,40,cvbof96C,d2c2,-21,2,d4b2,0.0315,0.0285,0.023,0.0183,d4b2,d7e5,d7e5,d7e5,118.0,0.0315,-0.0132,True,club,03_bands_club,2342,2230,2230,False,True,5,0.5469,0.0286
r1b1rk2/pp1n1pp1/2pb1n2/q2p1BB1/3P4/2N1PN2/PPQ2PPP/R4RK1 b - - 4 12,24,xDM8tsru,d6b4,-239,21,f6e4,0.0335,0.0316,0.0288,0.0252,g7g6,a5c7,a5c7,g7g6,138.0,0.0335,-0.0083,True,club,03_bands_club,2246,2251,2251,False,True,6,0.6463,0.0042
4rnk1/Q4pp1/8/8/3P4/P3PqBP/1P5K/2R1R3 b - - 1 34,68,xDM8tsru,e8a8,-473,76,e8e3,0.0047,0.0029,0.0016,0.0011,e8e3,e8e3,e8e3,e8e3,164.0,0.0047,-0.0036,True,club,03_bands_club,2246,2251,2251,False,True,1,0.7533,0.229
r2nk2r/1ppbqnb1/p2p1pp1/3Pp2p/4P1PN/2P1B2P/PPBN1P2/R2QK2R b KQkq - 1 14,28,LsvBUX1J,g7h6,-359,22,d7g4,0.0277,0.0237,0.0206,0.0176,g6g5,h5g4,h5g4,h5g4,102.0,0.0277,-0.0101,True,club,03_bands_club,2316,2217,2217,False,True,6,0.6277,0.0915
2k3rr/1pp5/p2p1R1n/1q1Pp1p1/2N1PnP1/1BP1KNQ1/PP6/4R3 b - - 1 28,56,LsvBUX1J,a6a5,0,129,c8b8,0.0238,0.0252,0.032,0.0377,b5c5,b5c5,b5c5,b5c5,314.0,0.0377,0.0139,True,club,03_bands_club,2316,2217,2217,False,True,7,0.6559,0.2509
r1q1r1k1/1pp2pb1/2np2p1/p4P1p/2P1P1n1/PPN3P1/2Q1N1KP/1RB2R2 b - - 2 18,36,J8Y2w49o,g4f6,-84,7,c6e5,0.0153,0.0148,0.0105,0.0061,g6f5,g6f5,g6f5,c6d4,105.0,0.0153,-0.0092,True,club,03_bands_club,2271,2336,2336,False,True,2,0.6892,0.1594
r4rk1/pp3pbp/2pQ2p1/4n3/2P1P3/1PN2qPP/PB3P1K/3R1R2 b - - 2 18,36,3X1bbXYE,a8e8,47,15,g7f6,0.0273,0.0299,0.0358,0.0422,a8d8,a8d8,a8d8,a8d8,193.0,0.0422,0.0149,True,club,03_bands_club,2236,2240,2240,False,True,0,0.5505,0.0721
4N3/p2r2k1/2p2pp1/4P2p/2Pr4/1P4PP/P2n1PK1/3RR3 b - - 1 32,64,3X1bbXYE,g7h8,-510,7,g7f7,0.0017,0.0016,0.0014,0.0015,g7f7,g7f7,g7f7,g7f7,103.0,0.0017,-0.0002,True,club,03_bands_club,2236,2240,2240,False,True,1,0.6784,0.0337
3r4/p4k2/2p2Np1/4P2p/2Pr1P2/1P4PP/P2n2K1/3RR3 b - - 0 34,68,3X1bbXYE,d2f3,-57,209,d2b3,0.0236,0.0199,0.0178,0.0127,d4d3,d4d3,d4d3,f7e6,281.0,0.0236,-0.0109,True,club,03_bands_club,2236,2240,2240,False,True,6,0.5954,0.0008
3r2k1/6p1/2pPp2p/1pPbp3/pP4P1/7P/P4PB1/4R1K1 b - - 1 32,64,jrqwqoxl,g8f7,-386,19,d5a2,0.0166,0.018,0.0204,0.0179,d5a2,d5a2,d5a2,d5a2,106.0,0.0204,0.0013,True,club,03_bands_club,2255,2308,2308,False,True,5,0.629,0.0369
r5k1/6n1/2p4p/3N1p2/p2Q2pq/P3R3/1PP2PP1/6K1 b - - 0 26,52,yMDbBRPZ,a8f8,-245,39,a8d8,0.0039,0.0019,0.001,0.0009,c6d5,c6d5,c6d5,c6d5,264.0,0.0039,-0.003,True,club,03_bands_club,2301,2269,2269,False,True,5,0.515,0.0838
2rr3k/1b3pq1/p3p1p1/2p1R2N/Pp3Q2/1P1P4/2P2PPP/5RK1 b - - 0 26,52,gCw8uYMk,d8d4,-348,74,g6h5,0.0321,0.0297,0.032,0.0472,g6h5,g6h5,g6h5,g6h5,141.0,0.0472,0.0151,True,club,03_bands_club,2268,2252,2252,False,True,6,0.6005,0.0891
r3r1k1/6pp/2n5/ppPpp1nq/3P1pRP/P1PB1P2/3B1P1K/2RQ4 b - - 4 24,48,Z8ovmATq,a8b8,-33,4,e5e4,0.0102,0.0061,0.0046,0.0054,e5e4,e5e4,e5e4,e5e4,116.0,0.0102,-0.0048,True,club,03_bands_club,2273,2347,2347,False,True,6,0.5896,0.0394
3r2k1/1pp2p1p/7r/pPb1p1pP/P3PqbR/2P2NP1/R3BP2/1Q3K2 b - - 0 32,64,NlRE1rT5,f4f3,462,750,f4f3,0.0099,0.0123,0.0142,0.0157,f4f6,f4f6,f4f6,f4f6,743.0,0.0157,0.0058,True,club,03_bands_club,2244,2317,2317,True,False,6,0.456,0.0318
2rr2k1/p1q1bp1p/1pb1p1p1/n3P1N1/P2P4/2p5/2B1QPPP/1RBR2K1 b - - 10 26,52,6YKksgZH,c6a4,198,43,c6a4,0.0069,0.0035,0.0019,0.0014,e7g5,e7g5,e7g5,e7g5,332.0,0.0069,-0.0055,True,club,03_bands_club,2212,2240,2240,True,False,2,0.588,0.0168
r1b2rk1/1pq1bppp/p2ppn2/4n3/2PNP3/P1N1B3/1P2BPPP/2RQ1RK1 b - - 1 12,24,rqWBZ28k,e5g6,-94,13,c8d7,0.0077,0.0116,0.0126,0.0072,e5c4,e5c4,e5c4,e5c4,297.0,0.0126,-0.0005,True,club,03_bands_club,2257,2284,2284,False,True,3,0.7637,0.1903
1r3qk1/p1rb1p2/1pnNpBp1/4P3/5Q2/8/P1P2PPP/1R3RK1 b - - 8 24,48,XAGisS78,c6e5,-685,117,g8h7,0.016,0.0177,0.0208,0.0221,c6e7,c6e7,c6e7,c6e7,1304.0,0.0221,0.0061,True,club,03_bands_club,2266,2282,2282,False,True,1,0.8593,0.2665
1k1r4/1pb2ppp/6b1/2P5/1P6/2Np1P2/3Pr1PP/R1B2K1R b - - 2 24,48,L8ftcERx,c7e5,201,165,c7e5,0.0455,0.0404,0.0399,0.0422,e2e6,e2e6,e2e6,e2e6,199.0,0.0455,-0.0033,True,club,03_bands_club,2226,2247,2247,True,False,0,0.5936,0.1162
rn3rk1/pbpp2p1/1p2p2p/4P3/5q2/2P2N2/P1P1BPPP/R2Q1RK1 b - - 0 12,24,p6r0QM6p,b7d5,160,72,b8c6,0.008,0.0106,0.0127,0.0099,b7f3,b8c6,b8c6,b8c6,209.0,0.0127,0.0019,True,club,03_bands_club,2236,2242,2242,False,True,2,0.6037,0.0253
r4rk1/ppqbbppp/1nn1p3/1B2P3/8/2N1BN2/PP2QPPP/2R2RK1 b - - 7 14,28,F6Ok64v2,f8d8,-61,17,f8d8,0.0207,0.0234,0.0278,0.0396,a7a6,a7a6,a7a6,c6e5,258.0,0.0396,0.0189,True,club,03_bands_club,2274,2310,2310,True,False,3,0.7003,0.0342
1r1q1rk1/2p1bppp/p1n5/P2np3/6P1/1B1P1N2/1P1B1PP1/R2QR1K1 b - - 0 16,32,UgVCGEgS,e7c5,-80,5,d5b4,0.0243,0.0185,0.014,0.0116,e7f6,e7f6,e7f6,e7f6,125.0,0.0243,-0.0127,True,club,03_bands_club,2281,2272,2272,False,True,2,0.6469,0.0446
5rk1/P4ppp/8/R7/1qBp2P1/3P4/5PP1/R5K1 b - - 0 34,68,UgVCGEgS,g7g6,-583,47,g7g6,0.0337,0.0223,0.0145,0.0167,f8a8,f8a8,f8a8,f8a8,158.0,0.0337,-0.017,True,club,03_bands_club,2281,2272,2272,True,False,1,0.8283,0.2564
3r2k1/p2q4/1r2p1p1/5pNp/7P/1PQ1R1P1/P4PK1/8 b - - 7 34,68,wsQREpTW,d7c6,232,85,d7e7,0.0421,0.0366,0.0265,0.0203,d7d5,d7d5,d7d5,d7d5,141.0,0.0421,-0.0218,True,club,03_bands_club,2215,2376,2376,False,True,5,0.3445,0.0071
5qr1/3k1p1Q/p3pP1p/1p1p1P2/1P1P4/P6P/2R1N1P1/6K1 b - - 0 32,64,liperSkN,d7d6,-611,105,g8g5,0.0351,0.0315,0.0294,0.0311,g8h8,g8h8,g8h8,g8h8,1379.0,0.0351,-0.004,True,club,03_bands_club,2368,2337,2337,False,True,1,0.7902,0.2945
6k1/p1r1pp2/2P3p1/1B5p/4QPbP/1P6/P2r1PPK/8 b - - 0 28,56,XTaekCn7,g4e6,-370,8,d2f2,0.0045,0.0057,0.0071,0.0096,d2f2,d2f2,d2f2,d2f2,185.0,0.0096,0.0051,True,club,03_bands_club,2219,2205,2205,False,True,6,0.5539,0.0715
2r3k1/p1P1pp2/6p1/4Q2p/2B2P1P/1P3bK1/P1r3P1/8 b - - 4 32,64,XTaekCn7,f3b7,-374,20,f3b7,0.0325,0.0354,0.0371,0.0451,c2g2,c2g2,c2g2,c2g2,330.0,0.0451,0.0126,True,club,03_bands_club,2219,2205,2205,True,False,6,0.5712,0.124
r3r3/5Rbk/pqN3p1/3Pp2p/1P5P/8/4Q1P1/5R1K b - - 0 32,64,84aw9ydE,a8d8,-411,37,a8c8,0.011,0.0084,0.0077,0.0085,e5e4,e5e4,e5e4,e5e4,809.0,0.011,-0.0025,True,club,03_bands_club,2302,2329,2329,False,True,6,0.6198,0.0145
2kr1b1r/pp2p1pp/2n1bp2/1BP5/8/B1P5/P1PN1PPP/2KR3R b - - 7 12,24,7cHVyfxS,h7h5,-28,1,g7g6,0.0017,0.0011,0.0008,0.0011,e6a2,e6a2,e6a2,e6a2,189.0,0.0017,-0.0006,True,club,03_bands_club,2252,2304,2304,False,True,3,0.6088,0.078
2kr1r2/p6p/2pN1ppb/2P5/2P5/5pPb/PBP4P/1K1R2R1 b - - 1 22,44,7cHVyfxS,d8d6,190,131,c8b8,0.039,0.0334,0.032,0.0306,c8c7,c8c7,c8c7,c8c7,176.0,0.039,-0.0084,True,club,03_bands_club,2252,2304,2304,False,True,0,0.5744,0.0873
r1b1k1nr/pp3p1p/2n1p1p1/2ppP3/q2P2Q1/P1P5/R1PBNPPP/4KB1R b Kkq - 5 10,20,iyVi0VQP,c6e5,131,64,c6e5,0.0073,0.0121,0.0218,0.0173,c5d4,c5d4,g8e7,g8e7,101.0,0.0218,0.01,True,club,03_bands_club,2294,2385,2385,True,False,3,0.6481,0.0841
3R4/1q3ppk/pp2pn1p/8/1n1NP3/5PB1/PP3P1P/2R3K1 b - - 2 24,48,7NIvnzZk,e6e5,-155,89,b7e7,0.0094,0.0069,0.0052,0.0044,b4a2,b4a2,b4a2,b4a2,412.0,0.0094,-0.005,True,club,03_bands_club,2326,2258,2258,False,True,0,0.3534,0.0107
3r2k1/4p2p/B5p1/4P3/5Pb1/n1r2NP1/P1p1K2P/R4R2 b - - 8 34,68,xmc6WkwR,c3f3,690,98,g4f3,0.0124,0.0132,0.0115,0.0099,g4f3,a3b1,a3b1,a3b1,165.0,0.0132,-0.0025,True,club,03_bands_club,2205,2240,2240,False,True,4,0.8476,0.3352
r1bq1rk1/p3bppp/1pn1p3/2ppP3/3P3P/2PB1NP1/PP1N2P1/R2QK2R b KQ - 0 12,24,K1bFP9XY,c8d7,23,1,f7f6,0.0197,0.0126,0.0071,0.0079,c8b7,c8b7,f7f6,f7f6,128.0,0.0197,-0.0118,True,club,03_bands_club,2250,2287,2287,False,True,3,0.7032,0.0833
r2qr1k1/1Q3ppp/p4b2/8/2nP4/3KB1P1/PPP4P/4R2R b - - 2 20,40,LUufzdNi,e8e3,1990,1269,c4e3,0.0168,0.0169,0.0164,0.017,c4e3,c4e3,c4e3,c4e3,1288.0,0.017,0.0002,True,club,03_bands_club,2237,2234,2234,False,True,4,0.8975,0.4612
4rrk1/p1p2pbp/2Pp2p1/8/2B5/2P4P/PP3K1n/RNB5 b - - 2 20,40,MJACooWp,d6d5,307,74,g7e5,0.0282,0.0162,0.0134,0.0194,e8e5,e8e5,e8e5,e8e5,129.0,0.0282,-0.0088,True,club,03_bands_club,2288,2232,2232,False,True,0,0.38,0.0544
5rk1/pb2qp1p/2r3p1/8/P6P/4B1P1/1Q3P2/R4BK1 b - - 1 24,48,7rYa20y1,f8e8,103,76,f7f6,0.0129,0.0111,0.0097,0.0097,e7e4,e7e4,e7e4,e7e4,607.0,0.0129,-0.0032,True,club,03_bands_club,2338,2374,2374,False,True,0,0.4203,0.0406
r5k1/4q2p/r4pp1/8/P6P/2Q1B1P1/5P2/R5K1 b - - 3 28,56,7rYa20y1,e7e5,-14,9,e7e6,0.0265,0.0276,0.034,0.0482,a6a4,a6a4,a6a4,a6a4,530.0,0.0482,0.0217,True,club,03_bands_club,2338,2374,2374,False,True,5,0.3992,0.1157
r1b1r1k1/1p4pp/2p5/5pq1/1P1Pp2n/2N1P2P/2QN1PPK/1R4R1 b - - 4 20,40,RZdzi1YY,g5h6,74,50,g5h5,0.0055,0.0097,0.0142,0.0153,f5f4,e8e6,e8e6,e8e6,191.0,0.0153,0.0098,True,club,03_bands_club,2256,2306,2306,False,True,2,0.5919,0.0784
r1b3k1/1p4pp/2p4q/8/1P1PNp1n/4P2P/5PPK/1R2Q1R1 b - - 0 24,48,RZdzi1YY,h4f3,1994,1617,h4f3,0.0226,0.0212,0.0199,0.0174,f4f3,f4f3,f4f3,f4f3,2259.0,0.0226,-0.0052,True,club,03_bands_club,2256,2306,2306,True,False,0,0.4397,0.0389
4r3/1pp2kbp/p4np1/6n1/P3P3/3R2N1/1P3P1P/4RK2 b - - 0 24,48,hQNUFOAU,g5e6,347,21,f6e4,0.0077,0.0101,0.0122,0.0136,g5e4,g5e4,g5e4,g5e4,238.0,0.0136,0.0059,True,club,03_bands_club,2315,2209,2209,False,True,0,0.5571,0.13
R5nr/1p1k2pp/p2bp3/5p2/3B1P2/7B/PP2KP1P/8 b - - 1 22,44,ZghHr5rW,h7h5,-401,59,h7h6,0.0168,0.0166,0.0165,0.018,d6f4,d6f4,d6f4,d6f4,155.0,0.018,0.0012,True,club,03_bands_club,2225,2269,2269,False,True,6,0.6019,0.0542
1rbq1rk1/3nbppp/3p1n2/1B2p3/3PP3/2N1BN1P/1P1Q1PP1/R4RK1 b - - 0 14,28,bc0Sc1H0,f6e4,-40,217,f6e4,0.0115,0.0087,0.0082,0.0147,e5d4,e5d4,e5d4,e5d4,251.0,0.0147,0.0032,True,club,03_bands_club,2218,2315,2315,True,False,3,0.5813,0.0372
1r3rk1/1q2bppp/8/2P5/p1BPP3/1p2Q2P/3B2P1/1R3K2 b - - 2 32,64,Sw9CFZpD,e7g5,446,39,f8e8,0.005,0.0037,0.0029,0.0027,b3b2,b3b2,b3b2,b3b2,184.0,0.005,-0.0023,True,club,03_bands_club,2300,2279,2279,False,True,0,0.5232,0.1167
r4rk1/1p3ppp/6b1/1p1B4/2pP1P2/P1P3P1/1n1N1K1P/R6R b - - 0 22,44,3PPUVGuv,a8e8,75,40,b2d3,0.0115,0.0055,0.0029,0.0025,b2d3,b2d3,b2d3,b2d3,114.0,0.0115,-0.009,True,club,03_bands_club,2258,2208,2208,False,True,0,0.5697,0.0468
3r2k1/pp2pp2/6p1/2r1bbBp/2P4P/8/P1P1BPP1/2R2RK1 b - - 1 18,36,xI2ehxI7,e5d6,191,26,d8d7,0.0121,0.0107,0.0084,0.0063,f7f6,f7f6,f7f6,f7f6,100.0,0.0121,-0.0058,True,club,03_bands_club,2225,2244,2244,False,True,0,0.5844,0.1011
r2rq1k1/1p3pp1/1Pp2bn1/p1Pp1Qn1/P2P2Pp/3NP2P/3B2B1/4RRK1 b - - 10 28,56,eaIW3UIG,g6f8,-65,5,g5e4,0.0099,0.0076,0.0063,0.0091,g5e4,g5e4,g5e4,g5e4,109.0,0.0099,-0.0008,True,club,03_bands_club,2271,2266,2266,False,True,2,0.5918,0.1715
r1bk1b1r/pp3Qp1/1q2pn1p/8/3pN3/2PB4/P2B1PPP/R4RK1 b - - 1 16,32,iI6WAEb1,b6c7,-219,49,b6c7,0.0401,0.0383,0.0345,0.0291,f6e4,f6e4,f6e4,f6e4,134.0,0.0401,-0.011,True,club,03_bands_club,2393,2387,2387,True,False,6,0.6162,0.1085
3r4/pp1n2kn/3r1q1p/2p2Pp1/3PR1P1/2QB1N2/PP5P/4R1K1 b - - 1 28,56,1RdBX1ao,h7f8,-366,24,c5d4,0.0204,0.0203,0.0215,0.0275,c5d4,c5d4,c5d4,c5d4,245.0,0.0275,0.0071,True,club,03_bands_club,2202,2213,2213,False,True,6,0.7199,0.1549
r2q1rk1/pp2ppb1/n4np1/1N1pN2p/3P1B1P/2P5/PP2QPP1/R3K2R b KQ - 0 12,24,6Ox6tPSR,a6b8,-66,2,f6e4,0.0075,0.0087,0.0095,0.0106,a6c7,a6c7,a6c7,a6c7,360.0,0.0106,0.0031,True,club,03_bands_club,2339,2260,2260,False,True,3,0.5936,0.0026
r2qk2r/pppbbpp1/4pn1p/2n3B1/1P2P2Q/2N2N2/P1P2PPP/3RKB1R b Kkq - 0 10,20,mTHhH7L4,h8h7,81,46,c5a6,0.001,0.0011,0.0013,0.0013,c5a6,c5a6,c5a6,c5a6,188.0,0.0013,0.0003,True,club,03_bands_club,2202,2297,2297,False,True,3,0.5485,0.0195
r3k2r/1ppbnppp/p1p5/2b5/3NP3/4B3/PPPN1PPP/2KR3R b kq - 6 10,20,oiclobFG,e7g6,-8,17,e8c8,0.0216,0.0271,0.0357,0.0336,e8c8,e8c8,e8c8,e8c8,107.0,0.0357,0.012,True,club,03_bands_club,2263,2220,2220,False,True,3,0.6251,0.038
r3kb1r/1pq1nppp/p1n1p3/P1ppPb2/B7/2N2N1P/1PPP1PP1/R1BQ1RK1 b kq - 2 10,20,1RWFe51J,g7g5,128,4,e8c8,0.0013,0.0014,0.002,0.0043,e7g6,e7g6,e7g6,e7g6,176.0,0.0043,0.003,True,club,03_bands_club,2267,2243,2243,False,True,3,0.7482,0.0832
2kr3r/5ppp/p1p1p3/P1bpqb2/8/2P4P/1P2NPP1/R1BQ1RK1 b - - 0 16,32,1RWFe51J,d8d7,0,16,e5c7,0.0045,0.0052,0.007,0.0079,c5d6,c5d6,c5d6,c5d6,106.0,0.0079,0.0034,True,club,03_bands_club,2267,2243,2243,False,True,2,0.5828,0.0044
r2r1k2/5p1p/PPR1np2/5N2/8/1b5P/6p1/R5K1 b - - 0 34,68,LmN5K3MC,a8a6,386,231,b3d5,0.0029,0.0021,0.0016,0.0015,b3d5,b3d5,b3d5,b3d5,212.0,0.0029,-0.0014,True,club,03_bands_club,2358,2296,2296,False,True,6,0.4636,0.0205
r4rk1/1ppqbppp/p2p1n2/3N4/3QP3/1P6/PBP2PPP/R4RK1 b - - 1 12,24,asBOcWmF,a8d8,-78,20,f8e8,0.0048,0.007,0.0109,0.0168,c7c5,c7c5,c7c5,f6d5,1921.0,0.0168,0.012,True,club,03_bands_club,2284,2250,2250,False,True,2,0.5974,0.0203
3k4/3n2p1/pp1Bp2p/2p1p3/PPP1P1PP/2K2P2/8/8 b - - 0 32,64,asBOcWmF,g7g5,-192,46,c5b4,0.0307,0.0231,0.0193,0.0173,d8c8,d8c8,d8c8,d8c8,113.0,0.0307,-0.0134,True,club,03_bands_club,2284,2250,2250,False,True,5,0.4551,0.0912
r1b3k1/1pp3bp/3p2r1/2nP1p2/1BPNpP1q/P3n1PP/2B1N2K/R2Q1R2 b - - 4 22,44,2GMwo8X4,h4h3,1998,1431,e3f1,0.0028,0.0026,0.0027,0.0026,e3d1,g6g3,e3d1,e3d1,1673.0,0.0028,-0.0002,True,club,03_bands_club,2223,2211,2211,False,True,4,0.7452,0.2144
r1b1k1nr/pppp1pp1/5qn1/2bPp2p/2P1P2P/2N3P1/PP2QP2/R1B1KBNR b KQkq - 1 8,16,Mt0B7Mea,f6b6,-84,12,f6b6,0.0132,0.0217,0.035,0.0471,d7d6,d7d6,d7d6,d7d6,339.0,0.0471,0.0339,True,club,03_bands_club,2323,2306,2306,True,False,3,0.6495,0.0422
r2r1nk1/pbqnbpp1/1ppNp2p/4P3/2P5/1P1B1N2/PBQ2PPP/3RR1K1 b - - 3 16,32,PXxNUBtN,d7e5,43,218,d7c5,0.024,0.0161,0.0127,0.0112,e7d6,e7d6,e7d6,e7d6,378.0,0.024,-0.0128,True,club,03_bands_club,2385,2388,2388,False,True,2,0.6737,0.033
r7/1b1k2bp/p1pPpBp1/qp3r2/2p1N1N1/4Q1P1/1P3PBP/3R2K1 b - - 4 26,52,3RGFbXCn,a8d8,-715,28,g7f8,0.0006,0.0004,0.0003,0.0002,g7f6,g7f6,g7f8,g7f8,185.0,0.0006,-0.0004,True,club,03_bands_club,2341,2330,2330,False,True,1,0.8746,0.2662
r4rk1/1bqnn1pp/p3p3/1p1pN2P/3P1BP1/2PB4/PP4Q1/R4R1K b - - 0 20,40,lyOxWXqg,f8f4,-219,80,d7e5,0.0316,0.0335,0.04,0.0412,d7e5,d7e5,d7e5,d7e5,169.0,0.0412,0.0096,True,club,03_bands_club,2297,2211,2211,False,True,6,0.757,0.1899
r3r3/2pR1pkp/p1n3pN/1pb1p1B1/2q1P1B1/2P3P1/PPQ2P1P/R5K1 b - - 0 20,40,JJImEYG0,e8e7,-569,28,c6d8,0.0127,0.0144,0.0183,0.0271,c6d4,c6d4,c6d4,c6d4,228.0,0.0271,0.0144,True,club,03_bands_club,2250,2202,2202,False,True,1,0.8235,0.2194
1r1n1rk1/2R2p1p/p4Qp1/4p2P/2p1P1B1/2P3P1/P7/5RK1 b - - 0 30,60,JJImEYG0,b8b6,-976,1010,g6h5,0.0133,0.0191,0.0246,0.0325,b8b2,b8b2,b8b2,b8b2,1020.0,0.0325,0.0192,True,club,03_bands_club,2250,2202,2202,False,True,1,0.8071,0.4091
2r2r2/5kp1/1pP1p1q1/p2pQ3/4p2b/P3P2B/2R2PP1/5RK1 b - - 0 28,56,9oaJG6Uu,g6f6,-60,48,h4e7,0.047,0.0428,0.0366,0.0291,f8h8,h4f6,h4f6,h4f6,1939.0,0.047,-0.0179,True,club,03_bands_club,2337,2283,2283,False,True,5,0.594,0.0162
3r1rk1/p4pb1/2p3p1/2NqNn2/1R1P4/3R3P/P3QPP1/6K1 b - - 0 26,52,9lFVb44z,d8b8,21,21,g7e5,0.0093,0.0071,0.0049,0.0034,f5d4,f5d4,f5d4,f5d4,479.0,0.0093,-0.0059,True,club,03_bands_club,2320,2334,2334,False,True,0,0.5402,0.085
3r1rk1/p4p2/2p3p1/4Qn2/1R1PN3/3R3P/q4PP1/6K1 b - - 1 28,56,9lFVb44z,c6c5,-29,71,a2e6,0.014,0.0107,0.0105,0.0117,a2a1,a2a1,a2a1,a2a1,291.0,0.014,-0.0023,True,club,03_bands_club,2320,2334,2334,False,True,5,0.4713,0.0637
r3k2r/1p3p2/pn2p2p/q2pPbp1/Pb1P4/1P3NB1/4QPPP/2RN1RK1 b kq - 2 20,40,QWx0vQsP,f5g6,60,9,e8g8,0.0017,0.0022,0.0025,0.0028,e8g8,e8g8,e8g8,e8g8,219.0,0.0028,0.0011,True,club,03_bands_club,2353,2219,2219,False,True,2,0.6395,0.171
r1r3k1/5ppp/pR2p3/P7/8/2n1PPN1/5PKP/2R5 b - - 6 30,60,2tlyInn3,g7g5,-33,18,g8f8,0.0024,0.0014,0.001,0.0015,c3d5,c3d5,c3d5,c3d5,109.0,0.0024,-0.0009,True,club,03_bands_club,2202,2354,2354,False,True,5,0.6104,0.2215
B3r3/2qnP1pp/p5k1/6B1/6P1/5N2/PpP4P/1K1R3R b - - 1 22,44,4jf3TIh7,d7f6,-488,109,e8a8,0.0193,0.0161,0.0141,0.0142,e8a8,e8a8,e8a8,e8a8,133.0,0.0193,-0.0051,True,club,03_bands_club,2204,2288,2288,False,True,1,0.6501,0.0583
2kr3r/7p/1p1Rn3/2p1pp2/8/2P1B1P1/PP3PKP/3R4 b - - 0 20,40,dwgyCgEH,c8c7,-225,68,f5f4,0.0223,0.0143,0.0096,0.0084,d8d6,d8d6,d8d6,d8d6,138.0,0.0223,-0.0139,True,club,03_bands_club,2251,2223,2223,False,True,5,0.6534,0.108
r5r1/1b2b1k1/p3p3/1ppqPp2/2Pp1Pp1/1P1P2Q1/PB2R1pP/1N2R1K1 b - c3 0 34,68,PgXf66SI,d5d8,554,53,d5c6,0.0233,0.0254,0.0231,0.0191,b5c4,d5c6,d5c6,d4c3,109.0,0.0254,-0.0042,True,club,03_bands_club,2267,2370,2370,False,True,4,0.8623,0.3973
1qrr4/1b1p2kp/p1nPppn1/8/4B1N1/P5B1/3Q1PP1/1R2R1K1 b - - 3 30,60,nkQfpdDb,g7f7,-573,86,b8a7,0.029,0.0244,0.019,0.0142,f6f5,f6f5,f6f5,f6f5,694.0,0.029,-0.0148,True,club,03_bands_club,2352,2250,2250,False,True,1,0.7919,0.0864
5rk1/p1Q3pp/2p2q2/3p4/P7/1P1R1P1r/2P4P/1K4R1 b - - 0 24,48,lX4EIMk4,a7a6,-124,29,a7a5,0.0129,0.0111,0.008,0.0052,h3f3,h3f3,h3f3,h3f3,698.0,0.0129,-0.0077,True,club,03_bands_club,2340,2291,2291,False,True,5,0.5925,0.1743
5rk1/2Q4p/2p2qp1/p2p4/P7/1P2RP1r/2P4P/1K2R3 b - - 1 26,52,lX4EIMk4,d5d4,-90,158,h3f3,0.0369,0.0276,0.0235,0.0211,h3f3,h3f3,h3f3,h3f3,187.0,0.0369,-0.0158,True,club,03_bands_club,2340,2291,2291,False,True,5,0.6652,0.1878
5rk1/6qp/2Q1R1p1/p2p4/P7/1P3r2/2P4P/1K2R3 b - - 0 28,56,lX4EIMk4,g7d4,-208,38,d5d4,0.0265,0.0252,0.0302,0.0407,f3f1,f3f1,f3f1,f3f1,232.0,0.0407,0.0142,True,club,03_bands_club,2340,2291,2291,False,True,5,0.6428,0.1889
r4rk1/pp4bp/2ppq1p1/4Pn2/2P5/2NPB1P1/PP1Q3P/R4R1K b - - 0 18,36,82slG76E,f5g3,187,139,g7e5,0.0107,0.007,0.0046,0.0033,f5e3,f5e3,f5e3,f5e3,177.0,0.0107,-0.0074,True,club,03_bands_club,2313,2297,2297,False,True,2,0.5569,0.0065
r5k1/4qbpp/1pp2p2/2n1p3/p1P1P3/B1P1Q2P/4BPP1/1R4K1 b - - 1 30,60,NpwRTqJR,e7a7,157,10,e7c7,0.0251,0.0275,0.0298,0.0367,a8b8,a8b8,a8b8,a8b8,509.0,0.0367,0.0116,True,club,03_bands_club,2278,2258,2258,False,True,0,0.6114,0.0696
